SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Candidatus Brocadiae	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Methanobacteria	Methanomicrobia	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrospira	Oligoflexia	Opitutae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermotogae	Tissierellia	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SRR31418691	0.0	0.0	0.0	1.721079442204211	1.1201135025202733	0.0	0.38625786944043144	0.0	2.6725780108994917	4.828704072266797	2.1763791132437036	0.0	0.0	0.0	0.49837574795888817	0.0	0.0	0.0	0.0	0.0	4.496434402467182	0.23472585152913764	2.751053485625075	1.9360213214455675	0.0	0.0	0.38625786944043144	2.675873653894988	0.0	0.0	0.23472585152913764	2.3638010732147188	0.724353363459342	0.0	0.9121286489222654	1.2601616542291807	2.9657987148214753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9121286489222654	4.20386157717441	0.0	0.0	0.0	0.23472585152913764	0.23472585152913764	0.0	0.0	0.0	1.1857258621520397	0.23472585152913764	0.23472585152913764	0.0	0.0	0.23472585152913764	0.0	0.0	0.23472585152913764	0.49837574795888817	0.0	0.0	0.0
SRR31418692	0.0	0.9000379891816341	0.0	2.3874595963772935	1.7030835341420116	0.5567837521339598	0.0	0.0	2.453267981935896	4.870464868281656	2.809011206904781	0.0	0.0	0.0	0.43711518838355823	0.43711518838355823	0.0	0.0	0.43711518838355823	0.0	4.480685590072957	0.27137620937762974	1.9077108445409021	3.0862416292202792	0.0	1.0231688305072753	0.7929505121340117	3.2120177578142255	0.0	1.0231688305072753	0.9000379891816341	2.254807592558816	0.0	0.5567837521339598	0.5567837521339598	0.8497865999484493	3.891753626543489	0.27137620937762974	0.9858740788150087	0.0	0.0	0.0	0.0	0.0	0.0	0.27137620937762974	2.9827255787063316	0.0	0.0	0.0	0.5567837521339598	0.27137620937762974	0.0	0.0	0.0	1.4178355403184337	0.0	2.1320660660378294	0.0	0.0	0.0	0.27137620937762974	0.0	0.43711518838355823	0.9450732244939157	0.0	0.6505006879183023	0.0
SRR31418693	0.49190273100452764	1.06142690648457	0.0	2.3336369973879325	1.6936291755842006	0.7166483491866358	0.0	0.0	2.7337533314674984	4.853556474277832	2.654395047950104	0.0	0.0	0.0	0.49190273100452764	0.0	0.0	0.0	0.0	0.0	4.5219077173826925	0.0	1.565442765123278	2.644150585808994	0.0	0.0	0.0	1.251173622392409	0.0	0.0	0.49190273100452764	3.1015128911875225	0.0	0.0	0.9738414204217853	0.0	2.9639712852892175	0.49190273100452764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7166483491866358	3.962750714551939	0.0	0.49190273100452764	0.0	0.0	0.49190273100452764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR31418694	0.0	0.0	0.0	1.9633089872282188	1.7878196833477988	0.0	0.5999139086031944	0.0	3.2915487610707164	4.777044634041438	3.911783758438957	0.24181301457028734	0.0	0.0	0.24181301457028734	0.0	0.0	0.509902738572914	0.0	0.0	4.593944959842488	0.0	1.8736808787985126	2.6505962961674947	0.509902738572914	0.0	0.0	2.232681344867207	0.24181301457028734	0.0	1.111300510060228	3.111832765712058	0.5999139086031944	0.0	0.509902738572914	2.111101647043714	3.5394955446695286	0.24181301457028734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2403383977261127	3.4410257739224974	0.0	0.0	0.0	0.5999139086031944	0.3962239917267299	0.0	0.0	0.0	0.7380209814492917	0.7934756905815078	0.8868084820591535	0.0	0.0	0.3962239917267299	0.0	0.0	0.5999139086031944	0.6744342808762095	0.0	0.0	0.0
SRR31418695	0.0	0.0	0.0	1.8635581572037436	1.5363587605448266	0.0	0.5605753437782414	0.0	2.3942191972023332	4.953667389979502	3.9201135279715045	0.0	0.0	0.0	0.4404466074194836	0.0	0.0	0.27381842127422995	0.0	0.0	4.225475317159061	0.0	1.3440924816389628	2.3672296157522137	0.27381842127422995	0.4404466074194836	0.4404466074194836	2.940329407489629	0.0	1.1516140091731435	1.1238332672839368	1.858302725113991	0.5605753437782414	0.0	0.7318027325489853	2.108521150607514	2.6038047824383863	0.4404466074194836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8542889530161584	2.7938752698818528	0.0	0.0	0.0	0.27381842127422995	0.27381842127422995	0.4404466074194836	0.0	0.0	0.9497207808475581	0.5605753437782414	0.7318027325489853	0.0	0.0	0.7973497807165977	0.0	0.0	0.4404466074194836	0.5605753437782414	0.0	0.0	0.0
SRR31418696	0.0	0.0	0.3624170681197034	2.4610590885358543	1.2540037064405969	0.3624170681197034	0.0	0.0	3.468648756755913	4.810974256423549	3.609701611385835	0.0	0.0	0.0	0.6911663173148475	0.0	0.0	0.0	0.0	0.0	4.565823159138423	0.5571829922710502	2.053516978192478	1.9197585177815066	0.3624170681197034	0.0	0.5571829922710502	2.8051516058291384	0.0	0.0	1.0580167547415358	1.7146856709191582	0.0	0.0	1.0580167547415358	2.672388915235336	2.2112620143034807	0.3624170681197034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6911663173148475	3.868344076811983	0.0	0.3624170681197034	0.0	0.0	0.6911663173148475	0.3624170681197034	0.0	0.0	0.0	0.5571829922710502	0.3624170681197034	0.0	0.0	0.5571829922710502	0.0	0.0	0.6911663173148475	0.3624170681197034	0.3624170681197034	0.0	0.0
SRR31418697	0.0	0.0	0.27357926637227187	3.664242942249384	2.1395313286977715	0.6541754107082932	1.0274502258732137	0.0	3.365694269830477	4.718871697271937	3.883220923917394	0.0	0.8538489991061884	0.27357926637227187	0.9901154613169533	0.27357926637227187	0.0	0.27357926637227187	0.0	0.0	4.5691971519927215	0.27357926637227187	2.822994856324374	2.554054411479406	0.27357926637227187	0.6541754107082932	0.27357926637227187	2.3466057697085754	0.0	0.0	1.1772464794533561	1.863053628276572	0.7969198538834658	0.0	1.9350899771570509	1.5012290726208883	3.7516011335884496	0.0	0.0	0.0	0.0	0.0	0.4401206773123059	0.0	0.0	1.2683425388630236	3.7903331556426614	0.0	0.0	0.0	0.9041730960706902	2.481240469371215	0.27357926637227187	0.0	0.0	0.27357926637227187	0.5602045696511172	0.0	0.0	0.0	0.5602045696511172	0.0	0.0	0.0	0.5602045696511172	0.0	0.0	0.0
SRR31418698	0.0	0.0	0.0	2.4789029629245554	2.209242832186991	0.0	0.0	0.0	3.1091396102066087	4.852754588084623	3.7514000354377877	0.0	0.2623024371252787	0.0	0.6352318332896753	0.5425915636749428	0.0	0.2623024371252787	0.0	0.0	4.420113649981268	0.0	1.9064421345281535	2.1910694079602036	0.0	1.512099806912121	0.0	2.1887433115821437	0.0	0.0	0.4246770864254809	1.9108870967348972	0.8328674456725359	0.0	1.2452034808305348	1.6195035506633004	3.670430046245858	0.4246770864254809	0.0	0.0	0.0	0.0	0.2623024371252787	0.0	0.0	1.2021810704552642	3.8372631911251234	0.0	0.0	0.0	0.8828084612585765	0.7115430829844164	0.2623024371252787	0.0	0.0	2.8219519290163144	0.4246770864254809	0.8328674456725359	0.0	0.0	0.2623024371252787	0.0	0.0	0.8328674456725359	0.6352318332896753	0.7115430829844164	0.0	0.0
SRR31418699	0.0	0.0	0.0	2.382175202293277	1.7367050918709084	1.1824496779811473	1.1824496779811473	0.2640010529354406	3.2459868226905852	4.8543892328608385	3.2445410287888063	0.0	0.0	0.0	0.7795428703227837	0.0	0.0	0.8860586054152635	0.0	0.0	4.520174525293271	0.2640010529354406	2.43596599072528	3.1176113107512418	0.6381068280104848	0.7795428703227837	0.7145572419569932	2.4099028662711675	0.0	1.3238093540044433	0.6381068280104848	1.6231520492874676	1.3878025354395105	0.0	2.2939169798485355	0.7145572419569932	3.7381452859799507	0.2640010529354406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4024288946569743	3.209885721207876	0.0	0.0	0.0	0.6381068280104848	0.42701286505335223	0.6381068280104848	0.0	0.0	0.5452611342449979	0.6381068280104848	0.8360581125804716	0.2640010529354406	0.0	0.6381068280104848	0.0	0.0	0.5452611342449979	0.42701286505335223	0.8360581125804716	0.0	0.0
SRR31418700	0.0	0.0	0.46109703586011175	1.4389939953275666	1.0193917055426942	0.6796687503596185	0.0	0.0	3.1955977853409725	4.674906590561339	2.846758756088174	0.0	0.0	0.0	0.46109703586011175	0.46109703586011175	0.0	0.0	0.0	0.0	4.650900916289299	0.0	1.4950058291486767	2.149090072071418	0.0	1.0193917055426942	0.0	0.0	0.0	0.0	0.46109703586011175	0.46109703586011175	0.0	0.0	1.0193917055426942	0.46109703586011175	3.2985874963856823	0.46109703586011175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8243847372869227	4.1405368849731286	0.0	0.0	0.46109703586011175	0.0	0.0	0.6796687503596185	0.0	0.0	0.6796687503596185	0.0	2.382374387005949	0.0	0.0	0.0	0.0	0.0	0.0	0.46109703586011175	3.853514014332541	0.46109703586011175	0.0
