SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Candidatus Cloacimonetes	Candidatus Omnitrophica	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SRR31418691	0.0	2.792404536724909	0.3873146258729867	0.0	4.831322303102777	0.0	0.0	0.8737912055425967	0.0	0.0	0.0	0.2354751083848001	0.3873146258729867	0.0	0.3873146258729867	0.0	0.0	0.0	0.7258081576093954	4.685306524026523	1.2618557327345203	0.0	0.0	0.0	0.0	0.2354751083848001	3.195141149459637	0.2354751083848001	0.2354751083848001	0.9137019640382288	0.0	0.2354751083848001	0.2354751083848001
SRR31418692	0.6520964298176216	2.5182328073289053	0.0	0.5582689904072694	4.8799128000952825	0.0	0.0	0.4384197476819828	0.0	0.0	1.2226651531225927	0.2723319659319795	1.1486547478904217	0.0	0.794674522640271	0.0	1.0250287537489646	0.0	0.0	4.503711137703907	0.8515511351795928	0.2723319659319795	0.0	0.0	0.0	0.2723319659319795	4.009801947871235	0.0	2.1341052064106467	0.5582689904072694	0.0	0.4384197476819828	0.5582689904072694
SRR31418693	0.0	2.406323683106306	0.0	0.0	4.858730091215926	0.8660995669992667	0.0	0.7186025880311954	0.0	0.0	0.7186025880311954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.648366749647534	0.0	0.49354275604596254	0.0	0.0	0.49354275604596254	0.49354275604596254	3.170205875580948	0.0	0.0	0.9760027000694396	0.0	0.0	0.0
SRR31418694	0.24100200979068245	2.2212178617770917	0.5984906346080644	0.0	4.778476736237533	0.24100200979068245	0.0	0.24100200979068245	0.0	0.5085896140802665	0.0	0.0	0.7364673864170502	0.5085896140802665	0.0	0.24100200979068245	0.0	0.0	0.5984906346080644	4.665224994886988	2.1092145205560238	0.24100200979068245	0.0	0.0	0.0	0.3950868740056222	4.073392348155259	0.7918803597456946	0.8851538857475596	1.2567596700090473	0.0	0.5984906346080644	0.5984906346080644
SRR31418695	0.0	2.0058044514125006	0.5611814273067871	0.0	4.955753666755291	0.6552243808096734	0.0	0.4409794593977584	0.0	0.27420951033374613	0.5611814273067871	0.0	0.9913251751897443	0.27420951033374613	0.4409794593977584	0.0	1.152390932887122	0.0	0.5611814273067871	4.2605662318781174	2.109350469909458	0.4409794593977584	0.0	0.0	0.0	0.27420951033374613	3.985714635297002	0.5611814273067871	0.7324836843907482	0.8550079700453886	0.0	0.4409794593977584	0.27420951033374613
SRR31418696	0.3635540548430548	2.609599205480478	0.0	0.0	4.813628317938811	0.6927654930193822	0.3635540548430548	1.1067763840401095	0.0	0.0	0.3635540548430548	0.5586346427273119	0.0	0.3635540548430548	0.5586346427273119	0.0	0.0	0.0	0.0	4.676929350708003	2.674391785617673	0.3635540548430548	0.0	0.0	0.3635540548430548	0.6927654930193822	3.693713605680919	0.5586346427273119	0.3635540548430548	0.6927654930193822	0.0	0.6927654930193822	0.3635540548430548
SRR31418697	0.2738068675099353	3.72348322989557	1.0278913790028037	0.0	4.723185684543548	0.0	0.0	1.0622726095744002	0.0	0.2738068675099353	1.2023297589044746	0.2738068675099353	0.0	0.2738068675099353	0.2738068675099353	0.0	0.0	0.4404308629725955	0.7973290149484729	4.665016522464994	1.5017005606892704	0.0	0.0	0.0	0.0	2.4829821946548574	4.136443164157496	0.5605574339667974	0.0	1.2888773245593041	0.0	0.0	0.9045992547075725
SRR31418698	0.0	2.5844551974622316	0.0	0.0	4.8593919350919474	0.0	0.0	1.0403049954683816	0.0	0.2626979304441613	1.5238839658435273	0.0	0.2626979304441613	0.0	0.0	0.0	0.0	0.2626979304441613	0.8336113172336782	4.543338602182656	1.620354505150548	0.42522123833180714	0.0	0.0	0.0	0.7122456939420804	4.029106308489765	0.42522123833180714	0.8336113172336782	1.2029982587298527	0.0	0.8336113172336782	1.072011739191348
SRR31418699	0.0	2.7107156648063855	1.176464537976094	0.0	4.857253509891784	0.0	0.0	0.8305897515925659	0.0	0.8804880355345521	1.3508581469523042	0.26109343135154983	0.7093921424838094	0.6331807668101557	0.7093921424838094	0.0	1.3177064618183227	0.0	1.3816577004067345	4.584336453315726	0.7093921424838094	0.26109343135154983	0.0	0.0	0.0	0.42301248065567865	3.871680848520211	0.6331807668101557	0.8305897515925659	1.3962753097115546	0.0	0.5406878235536466	1.0029073758580642
SRR31418700	0.6815985487098368	1.7914324681572957	0.0	0.0	4.678835801567051	0.6815985487098368	0.0	0.46269372480017235	0.0	0.0	1.1557557856374192	0.0	0.46269372480017235	0.0	0.0	0.0	0.0	0.0	0.0	4.781898595480467	0.46269372480017235	0.46269372480017235	0.0	0.0	0.0	0.0	3.435307335813282	0.0	2.3848028443608964	0.9348972913349163	0.0	0.0	3.8560672874463275
SRR31418701	0.0	2.837402320962648	0.5564419516918457	0.0	4.77314668547745	0.0	0.0	1.4173804954840483	1.4452711696868947	0.0	0.9446538102228678	0.0	0.0	0.0	0.0	0.0	0.0	0.27115642444956944	0.4368150447754669	4.735632273676646	1.3026586909182303	0.0	0.0	0.0	0.0	0.4368150447754669	3.600156110944805	0.5564419516918457	0.4368150447754669	1.1185533430352947	0.0	0.0	0.9446538102228678
SRR31418702	0.0	2.9482947004851963	0.3285975428761353	0.3285975428761353	4.813624159355653	0.0	0.0	0.7422754166578225	0.0	0.0	1.196007493327615	0.0	0.3285975428761353	0.3285975428761353	0.0	0.0	1.3733053226899556	0.0	0.6427817124660286	4.637592817635767	2.1465047960450505	0.3285975428761353	0.0	0.0	0.0	0.0	3.947244493135657	0.3285975428761353	1.3733053226899556	1.3519955173235259	0.0	0.3285975428761353	0.0
SRR31418703	0.6777570002039801	3.5535274840271573	0.0	0.0	4.8256985399213885	0.5450302717422754	0.0	0.9306072500582633	0.0	0.0	0.8614990495967627	0.35293110135852473	0.35293110135852473	0.0	0.5450302717422754	0.0	0.0	0.0	0.0	4.653324338866297	1.777661930204243	0.0	0.0	0.0	0.0	0.35293110135852473	3.454434947121114	0.0	0.5450302717422754	0.0	0.0	0.9306072500582633	1.3948674013916855
SRR31418704	0.0	2.5453536348973187	0.0	0.0	4.8445468879207985	0.0	0.0	0.6589366880464296	0.0	0.0	0.0	0.0	0.3397630139564026	0.0	0.0	0.0	0.0	0.5280338853242597	1.067409866979109	4.576047937020262	2.152904506006337	0.0	0.0	0.0	0.0	0.6589366880464296	4.01210348462001	0.0	0.3397630139564026	1.2458075382700953	0.3397630139564026	0.0	1.9872729815292687
SRR31418705	0.0	2.0618368163024043	0.0	0.0	4.798055985189136	0.0	0.0	0.2755559571705179	0.0	0.0	0.4428126420575539	0.0	0.4428126420575539	0.0	0.2755559571705179	0.0	0.0	0.0	0.4428126420575539	4.49411937140068	4.086843410699616	0.0	0.0	0.0	0.0	0.0	4.084093627754345	0.2755559571705179	0.56326577111609	0.6574620116174593	0.0	0.56326577111609	0.7348246091220685
SRR31418706	1.0168303265798453	2.7601731245914216	0.0	0.0	4.7722626138864115	0.0	0.0	0.6161301681300152	0.0	0.0	0.7556896548844173	0.0	0.40923238135873646	0.0	0.0	0.0	0.0	0.0	0.0	4.729534765513102	2.877473298477066	0.0	0.40923238135873646	0.0	0.40923238135873646	0.0	3.590015220624491	0.0	0.0	0.6161301681300152	0.0	0.0	2.6190432164290223
SRR31418707	0.2918332373809046	2.241583259037423	0.9377555959368364	0.2918332373809046	4.8667350456200245	0.0	0.0	0.2918332373809046	0.0	0.46481511663135555	0.2918332373809046	0.0	0.5881907750612649	0.0	0.5881907750612649	0.0	0.0	0.5881907750612649	1.4591615094078436	4.5645047133480245	0.6841602336761373	0.2918332373809046	0.0	0.0	0.0	0.0	3.9021590499844647	0.46481511663135555	0.5881907750612649	1.186713134771174	0.0	0.0	0.6841602336761373
SRR31418708	0.2957248141237421	2.1292814286627246	1.0316981741427131	0.0	4.868769869624113	0.0	0.0	0.0	1.6230437665679198	0.2957248141237421	0.8937629525830031	0.0	0.9447657998713215	0.2957248141237421	0.0	0.0	1.466805409650152	0.0	1.268646113723254	4.540359356544464	1.9239481391618531	0.2957248141237421	0.0	0.0	0.0	0.0	3.9789529061954143	0.4700331795715046	0.0	0.9904035131531582	0.0	0.2957248141237421	0.4700331795715046
