time	timepoint	ID	Study	Sample_ID
SRR5865101	1	3M	17	Assal	SRR5865101
SRR5865102	0	Pre	20	Assal	SRR5865102
SRR5865103	1	3M	15	Assal	SRR5865103
SRR5865104	1	3M	11	Assal	SRR5865104
SRR5865105	0	Pre	18	Assal	SRR5865105
SRR5865107	1	2Y	2	Assal	SRR5865107
SRR5865108	1	2Y	8	Assal	SRR5865108
SRR5865109	1	1Y	8	Assal	SRR5865109
SRR5865117	0	Pre	7	Assal	SRR5865117
SRR5865118	1	3M	13	Assal	SRR5865118
SRR5865119	0	Pre	19	Assal	SRR5865119
SRR5865131	1	2Y	3	Assal	SRR5865131
SRR5865132	1	3M	3	Assal	SRR5865132
SRR5865133	0	Pre	10	Assal	SRR5865133
SRR5865134	1	1Y	6	Assal	SRR5865134
SRR5865135	0	Pre	13	Assal	SRR5865135
SRR11292125	1	6M	5	Ilhan	SRR11292125
SRR11292126	1	6M	4	Ilhan	SRR11292126
SRR11292127	1	6M	1	Ilhan	SRR11292127
SRR11292131	1	6M	7	Ilhan	SRR11292131
SRR11292132	1	6M	6	Ilhan	SRR11292132
SRR11292136	0	Baseline	7	Ilhan	SRR11292136
SRR11292137	1	12M	7	Ilhan	SRR11292137
SRR11292138	0	Baseline	6	Ilhan	SRR11292138
SRR11292140	1	12M	6	Ilhan	SRR11292140
SRR11292141	1	12M	5	Ilhan	SRR11292141
SRR11292142	0	Baseline	5	Ilhan	SRR11292142
SRR11292143	1	12M	4	Ilhan	SRR11292143
SRR11292144	0	Baseline	4	Ilhan	SRR11292144
SRR11292145	0	Baseline	3	Ilhan	SRR11292145
SRR11292146	1	12M	3	Ilhan	SRR11292146
SRR11292147	0	Baseline	2	Ilhan	SRR11292147
SRR11292148	1	12M	2	Ilhan	SRR11292148
SRR11292129	1	6M	9	Ilhan	SRR11292129
SRR11292130	1	6M	8	Ilhan	SRR11292130
SRR11292133	0	Baseline	10	Ilhan	SRR11292133
SRR11292134	0	Baseline	9	Ilhan	SRR11292134
SRR11292135	0	Baseline	8	Ilhan	SRR11292135
ERR1624539	0	Pre	1	Afshar	ERR1624539
ERR1624542	0	Pre	4	Afshar	ERR1624542
ERR1624545	0	Pre	8	Afshar	ERR1624545
ERR1624547	0	Pre	10	Afshar	ERR1624547
ERR1624549	0	Pre	13	Afshar	ERR1624549
ERR1624550	0	Pre	14	Afshar	ERR1624550
ERR1624552	0	Pre	16	Afshar	ERR1624552
ERR1624553	0	Pre	17	Afshar	ERR1624553
ERR1624554	0	Pre	18	Afshar	ERR1624554
ERR1624555	1	Post	6	Afshar	ERR1624555
ERR1624556	1	Post	12	Afshar	ERR1624556
ERR1624559	1	Post	2	Afshar	ERR1624559
ERR1624560	1	Post	3	Afshar	ERR1624560
ERR1624562	1	Post	5	Afshar	ERR1624562
ERR1624564	1	Post	8	Afshar	ERR1624564
ERR1624565	1	Post	9	Afshar	ERR1624565
ERR1624567	1	Post	11	Afshar	ERR1624567
ERR1624570	1	Post	15	Afshar	ERR1624570
ERR1624536	0	Pre	6	Afshar	ERR1624536
ERR1624537	0	Pre	12	Afshar	ERR1624537
ERR1624538	0	Pre	19	Afshar	ERR1624538
ERR1624540	0	Pre	2	Afshar	ERR1624540
ERR1624541	0	Pre	3	Afshar	ERR1624541
ERR1624543	0	Pre	5	Afshar	ERR1624543
ERR1624544	0	Pre	7	Afshar	ERR1624544
ERR1624546	0	Pre	9	Afshar	ERR1624546
ERR1624548	0	Pre	11	Afshar	ERR1624548
ERR1624551	0	Pre	15	Afshar	ERR1624551
ERR1624557	1	Post	19	Afshar	ERR1624557
ERR1624558	1	Post	1	Afshar	ERR1624558
ERR1624561	1	Post	4	Afshar	ERR1624561
ERR1624563	1	Post	7	Afshar	ERR1624563
ERR1624566	1	Post	10	Afshar	ERR1624566
ERR1624568	1	Post	13	Afshar	ERR1624568
ERR1624569	1	Post	14	Afshar	ERR1624569
ERR1624571	1	Post	16	Afshar	ERR1624571
ERR1624572	1	Post	17	Afshar	ERR1624572
ERR1624573	1	Post	18	Afshar	ERR1624573
