Acidobacteria	Actinobacteria	Armatimonadetes	Asgardaeota	Atribacteria	Bacteroidetes	BHI80-139	BRC1	Caldiserica	Calditrichaeota	Chlamydiae	Chloroflexi	Cloacimonetes	Crenarchaeota	Cyanobacteria	Dadabacteria	Deferribacteres	Deinococcus-Thermus	Dependentiae	Elusimicrobia	Entotheonellaeota	Epsilonbacteraeota	Euglenozoa	Euryarchaeota	FBP	FCPU426	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	GN01	Halanaerobiaeota	Hydrogenedentes	Incertae_Sedis	Kiritimatiellaeota	Latescibacteria	LCP-89	Lentisphaerae	Margulisbacteria	Marinimicrobia_(SAR406_clade)	Modulibacteria	Nanoarchaeaeota	Nitrospinae	Nitrospirae	Omnitrophicaeota	Parabasalia	Patescibacteria	PAUC34f	Planctomycetes	Proteobacteria	Rokubacteria	Spirochaetes	Synergistetes	TA06	Tenericutes	Thaumarchaeota	Thermotogae	Verrucomicrobia	Vertebrata	WOR-1	WPS-2	WS1	WS2	WS4	Zixibacteria	others	BioProject	sample_alias	env_material	time	ID	prepost
SRR39238531	0	2.00673711844393	0	0	0	4.3706370694942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04039963993107	0	0	0	0	0	4.24607927979704	1.87988606640985	0	0	0	0	1.0151388811199	0	0	0	1.10357849761997	0	0	0	0	0	0	0	0	0	0	0	4.38795996336498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98098756228644	PRJNA1480144	ILPr22	fecal	Pre	22	0
SRR39238530	0	2.11777703134057	0	0	0	4.15345864181181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72116547364239	0	0	0	0	0	4.1746782732548	4.54894936265917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8133216674846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62802660115425	PRJNA1480144	ILPr23	fecal	Pre	23	0
SRR39238529	0	2.23264158117884	0	0	0	4.46293299231027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00607397798784	0	0	0	0	0	0	0	0.487346146568529	0	0	0	0	0	0	0	0	0	0	0	0	0	4.42375918742783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72252473309381	PRJNA1480144	ILPr24	fecal	Pre	24	0
SRR39238528	0	2.70301567508	0	0	0	3.15212772333411	0	0	0	0	0	0.544281346460539	0	0	0	0	0	0.426155377347259	0	0	0	0.713451260784415	0	0	0	0	0	4.0665375014949	1.71490197356559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71841397322231	0	0	0.426155377347259	0	0.544281346460539	0	0	0	0	0	0	0	0	0	0	0	PRJNA1480144	ILPr25	fecal	Pre	25	0
SRR39238527	0	0.715199159102624	0	0	0	4.64207170890555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34147212079863	0	0	0	0	0	4.19862225394745	2.3290164874517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70584153732611	0	0	0	0	0	0	0	2.95785567106233	0	0	0	0	0	0	0	1.69799406754305	PRJNA1480144	ILPr26	fecal	Pre	26	0
SRR39238526	1.66409585186075	2.30247438647385	0	0	0	4.41588848390177	0	0	0	0	0	0.930625949557116	0	0	1.05756610624055	0	0.333947914936821	0	0	0.333947914936821	0	3.95962077738207	0	0	0	0	0.333947914936821	4.26057176836727	3.42199564230426	0.867241799494578	0	0	0	0	0	0.437152357128889	0	0	0	0	0	0	0	0.65054616768643	0	0	0	0	0.437152357128889	3.97054324697319	0	0.333947914936821	0	0	0.867241799494578	0	0	1.73896345088849	0	0	0	0	0	0	0	2.34081289876789	PRJNA1480144	ILPr27	fecal	Pre	27	0
SRR39238452	2.52109389643636	3.32192446276606	0.729675676584141	0	0	4.39233421837025	0	0	0	0	0.652540981133625	2.28778126368965	0	0.795154717206828	3.67699437721257	0	1.73455157760214	0	0.652540981133625	0.729675676584141	0	2.60966561620263	0	0.43878333529157	0	0	0	4.42383436312751	3.00864126651114	2.22927096846217	0	0	0	0	0	1.19990459405639	0	0	1.26635486288643	0	0	0	0	2.0908103671423	0	0	1.34159838220364	0	1.83404639193876	3.657243435468	0	0	0	0	1.39054775230053	0	0	2.52109389643636	0	0	0	0	0	0	0	2.72799886318628	PRJNA1480144	ILPo27	fecal	Post	27	1
SRR39238525	3.2800635194153	2.94097066359813	1.75564854157903	0	0	4.37111232778277	0	0.439186117475304	0	1.53443694680872	1.58664410140737	3.2212492242085	0	1.56650792106539	1.83467035274981	1.81766890510918	0	0	0.852586850299122	1.17587626346826	1.61519918224249	1.60588788575038	0	1.2004978917269	0	0	1.32457726833784	4.23128066148207	3.84023648747423	2.26014047344946	0	0	1.02612026805395	0	0.730190978372661	2.18018379725532	0	0	0	0	0	0	1.2237982109406	2.75943788892715	1.24591184231667	0	1.66722755159017	0	2.21856903387228	3.74195455756771	2.22085909692116	1.2237982109406	0	0.559141213240905	1.82341032395771	1.88201251338983	0	2.66122787068475	0	0.795686526105498	0.559141213240905	0.559141213240905	0.439186117475304	0	1.72812773238221	3.78370897421698	PRJNA1480144	ILPr28	fecal	Pre	28	0
SRR39238451	3.18259100525258	3.56713198362693	0	0	0	4.00542308240734	0	0	0	0	0	2.88696127277383	0	2.30008278326813	2.31596437638968	0	0	0	0	0.621749734305083	0	3.31227826135413	0	1.40521557588431	0	0	1.81804303760487	3.8906857625351	1.45648546481169	2.74201419280811	0	0	0	0	1.47231325945002	0	0	0.719941193079026	0	0	0	0.799974640511639	0	2.28119145776708	0	0	2.22729751173239	0	0.719941193079026	4.38806937264255	0	1.02352279250767	0	0	2.05924898972364	0	0	1.50233682572486	0	0	2.14972091833686	0	0	0	0	4.13959982492749	PRJNA1480144	ILPo28	fecal	Post	28	1
SRR39238450	2.13347430979702	2.97295066565974	0.981480136738526	0	1.2202283646929	4.51756881071061	0	0.523836137296348	0	1.38751256732883	0	2.60088281431884	0	1.49733009346504	1.8757662186088	0	1.93864623646196	0.614994140602004	0.810340694015031	0	0	2.16703063807801	0	1.34372769277638	0	0	0	4.42020392790377	2.71718213975422	1.84782218909651	0	0	0.754453791336415	0	0	0.408317961000635	0.754453791336415	0	0	0.754453791336415	0.523836137296348	1.07639350536868	0	2.18950516399339	0.408317961000635	0	2.28188768889602	0	0.614994140602004	3.50609417291455	0.690297949148521	1.4752135033706	0	0	1.55763164266594	1.2202283646929	0	2.47232798470783	0.408317961000635	0.859848876437354	0	0	0.690297949148521	0	1.29502840693177	2.33826502645588	PRJNA1480144	ILPo29	fecal	Post	29	1
SRR39238524	0.820649420049387	2.57114099406521	0	0	1.05809334134806	4.65886512098115	0	0	0	0	0	1.02648574223534	1.14108742320488	0	0	0	0	0	0	0	0	2.73449745763182	0	0.624242099197171	0	0	0	4.27695933727407	0.415775408180688	0.415775408180688	0	0.624242099197171	0	0	0	0	0	0	0	0	0	0	0	0.415775408180688	0	0	0	0	0.415775408180688	2.50454428575132	0	0	1.51977712128132	0	1.23167500278094	0	0	0.764506283162109	0	0	0	0	0	0	0	1.92659924081461	PRJNA1480144	ILPr30	fecal	Pre	30	0
SRR39238449	1.86048400567096	3.25263690242285	0.49187387900141	0	0	4.65615987669069	0	0	0	0	0	1.16654194195521	0	0	0	0	0	0	0	0	0	2.8453872657312	0	0	0	0	0	4.08067292122303	2.34612619172708	1.64468463867516	0	0	0	0	0	0.716613956736355	0	0	0	0	0	0	0	0	0	0	1.0993394160095	0	0	3.29816579885253	1.16654194195521	0	3.56214330068294	0	0	0	0	1.0993394160095	0	0	0	0	0	0	0	1.84770045288776	PRJNA1480144	ILPo30	fecal	Post	30	1
