0319-7L14	4-29	4-29-1	ABY1	Acidimicrobiia	Acidobacteriia	Actinobacteria	AD3	AKAU4049	Alphaproteobacteria	Aminicenantia	Anaerolineae	Armatimonadia	AT-s3-28	Babeliae	Bacilli	Bacteroidia	Bathyarchaeia	BD2-11_terrestrial_group	BD7-11	Blastocatellia_(Subgroup_4)	c5LKS83	Caldatribacteriia	Caldisericia	Calditrichia	Campylobacteria	Chitinivibrionia	Chlamydiae	Chloroflexia	Chthonomonadetes	Cloacimonadia	Clostridia	Coriobacteriia	CPR2	Dadabacteriia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	DG-56	Elusimicrobia	Entotheonellia	Erysipelotrichia	Euglenida	Fibrobacteria	Fimbriimonadia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gitt-GS-136	Gracilibacteria	Halanaerobiia	Holophagae	Hydrogenedentia	Ignavibacteria	Incertae_Sedis_cl	JG30-KF-CM66	JS1	KD4-96	Kiritimatiellae	Ktedonobacteria	Latescibacteria	Lentisphaeria	Leptospirae	Limnochordia	Lineage_IIa	Lineage_IIb	Lokiarchaeia	Longimicrobia	MB-A2-108	MD2902-B12	Melainabacteria	Methanobacteria	Methanomicrobia	Microgenomatia	Moduliflexia	Mollicutes	N9D0	Nanohaloarchaeia	NC10	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	ODP1230B23.02	OLB14	Oligosphaeria	OM190	Omnitrophia	Oxyphotobacteria	P2-11E	P9X2b3D02	Parcubacteria	PAUC43f_marine_benthic_group	Phycisphaerae	Pla3_lineage	Pla4_lineage	Planctomycetacia	RBG-16-55-12	Rhodothermia	Rs-M47	Rubrobacteria	S0134_terrestrial_group	Saccharimonadia	Sericytochromatia	SHA-26	SL56_marine_group	Spirochaetia	Subgroup_11	Subgroup_17	Subgroup_18	Subgroup_19	Subgroup_21	Subgroup_22	Subgroup_25	Subgroup_26	Subgroup_5	Subgroup_6	Subgroup_9	Synergistia	Thermoanaerobaculia	Thermodesulfovibrionia	Thermoleophilia	Thermoplasmata	Thermoprotei	Thermotogae	TK10	TK17	Trichomonadea	vadinHA49	Verrucomicrobiae	WCHB1-81	Woesearchaeia	others	BioProject	sample_alias	env_material	time	ID	prepost
SRR39238454	0	0	0	0	0	0	2.84357945278535	0	0	0	0	0	0	0	0	1.72701393438887	4.56536371299362	0	0	0	0	0	0	0	0	2.23480176118235	0	0	0.543093190659691	0	0	4.31926898998854	2.68190966339194	0	0	0	0	0	1.98653826335669	0	0	0	3.07317792142247	0	0	0	1.81819924691374	3.3437147354404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52153546100828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675616012347311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.859161185519583	0	0	0	0	0.675616012347311	0	0	0	0	0	0	0	1.3460260655201	0	0	0.859161185519583	PRJNA1480144	ILPr10	fecal	Pre	10	0
SRR39238455	0	0	0	0	0	0	3.15792831454111	0	0	0.785812915540854	0	0	0	0	0	1.92420338882848	4.60837549108798	0	0	0	0	0	0	0	0	2.3559788165577	0	0	0	0	0	3.81474530753239	2.2515431231242	0	0	0	0	0	1.9681194938997	0	0	0	1.30428493886395	0	0	0	3.43726880158979	2.85177410210711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.89699088602613	0	0	0	3.72400867223754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55064342657681	0	0	0	0	2.16596652094655	PRJNA1480144	ILPo10	fecal	Post	10	1
SRR39238519	0	0	0	0	0	0	1.55599774169612	0	0	1.29526950766462	0	0	0	0	0	2.31091197235315	4.04607440417614	0	0	0	0	0	0	0	0	1.23649380812393	0	0	0	0	0	3.4076720742568	1.66245117902848	0	0	0	0	0	2.05944195733178	0	0	0	2.42660541763148	0	0	0	3.32443199762633	4.69046719127612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56168269066797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73807638139722	0	0	0	PRJNA1480144	ILPr11	fecal	Pre	11	0
SRR39238552	0	0	0	0	0	0	3.91702356229234	0	0	0.887353214424626	0	0	0	0	0	2.410441281064	3.84631329841622	0	0	0	0	0	0	0	0	2.07786584513746	0	0	0	0	0	4.65726833396628	2.28164012100425	0	0	0	0	0	0.997986411518313	0	0	0	2.01219932832114	0	0	0	0	3.36275938773364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34511752361594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47856164577074	PRJNA1480144	ILPr12	fecal	Pre	12	0
SRR39238541	0	0	0	0	0	0	1.76473811253215	0	0	0	0	0	0	0	0	4.01067383393182	4.55618190550905	0	0	0	0	0	0	0	0	2.03142010035529	0	0	0	0	0	3.87460219019135	2.07038009200178	0	0	0	0	0	1.56672795886477	0	0	0	0	0	0	0	3.69377015467669	3.73348523971485	0	0	0	0	0	0	0	0.510835233849282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.639809983046393	0	0	0	0.73912372172715	0	0	0	3.16153577372952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998636940833185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15995786463974	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71137468218089	PRJNA1480144	ILPr13	fecal	Pre	13	0
SRR39238540	0	0	0	0	1.92733469546846	2.14835525848586	2.98814309229976	0.911962506249578	0	2.74343789760198	0	0.911962506249578	0	0	0	2.85582909421405	4.03495884931234	0	0	0	1.80001350126004	0	0	0	0	1.06995203974309	0	0	1.86832329518665	0	0	3.3815276395152	2.01577890577166	0	0	0	1.21812632991309	0.843290865390452	2.30710545074506	0	0	0	2.15566448553145	0	0	0.76168326065103	2.48673039140811	4.67588274944885	2.04479506631377	0	0	0	1.24842966031768	0	0	0	0	0	1.50581242326964	0	0	0	0	0	0	0	0	0	1.65499331650088	0	0	0	0	0	0	0	0	0	0	1.06995203974309	2.85292816582317	0	2.0934259072928	1.6191177556973	0	0	0	0	0	1.97927847489354	0	0	0	0	0.76168326065103	0	0	0	0	0	0	0.661108101543719	1.60646900229001	1.58000960292831	0	0	0	0	0	0.529991202511465	0	0	0	0	0	0	1.15032810562065	2.19711074040062	0	0	0.843290865390452	0	2.41917370280759	0	0	0	0.971243610868927	0	0	0	2.10984151190484	0	0	1.47217810282336	PRJNA1480144	ILPr14	fecal	Pre	14	0
SRR39238539	0	0	0	0	0.646558529096033	0	2.74578958071682	0	0	0	0	0	0	0	0	1.97679231203367	4.27787543238189	0	0	0	0	0	0	0	0	2.11479825475149	0	0	0	0	0	4.52402140518976	2.54533321387765	0	0	0	0.516894765520076	0	1.2308073709639	0	0	0	2.70465320307126	0	0	0	1.7562490199607	3.81439042363229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.72206186693548	0	0	0.646558529096033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16809415560532	0	0	1.41771933096236	PRJNA1480144	ILPr15	fecal	Pre	15	0
SRR39238538	0	0	0	0	0	0.858477829058108	2.59121216756742	0	0	0	0	0	0	0	0	1.382002472054	4.47997619976908	0	0	0	0	0	0	0	0	1.6309994119276	0	0	0	0	0	4.07410878162528	2.35537743656683	0	0	0	0	0	1.87868351727811	0	0	0	2.00218425150423	0	0	0	4.15749794046023	2.79873371387401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79011589626635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26251712540093	0	0	1.27343208265974	PRJNA1480144	ILPr16	fecal	Pre	16	0
SRR39238537	0	0	0	0	1.66529993843548	1.65481066174011	2.72868435423103	0	0	2.30287333723634	0	0	0	0	0	2.43731355700883	4.23928358986943	0	0	0	0.940966104216606	0	0	0	0	1.65481066174011	0	0	0.992693982817673	0	0	4.06611096903622	2.02487139776656	0	0	0	0	0	2.56534828644099	0	0	0.506274289600107	2.89238855525856	0	0	0	3.50600959202711	3.71140421237642	1.43932542240779	0	0	0	0.882233291823635	0	0	0	0	0	1.24457922108965	0	0.506274289600107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01564905098292	0	0.940966104216606	0.992693982817673	0	0	0	0	0	1.64406175977138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.882233291823635	1.71425248680873	0	0	0	0	1.68554775574505	0	0	0	0	0	0	0	4.39551650704767	0	0	1.82049506051374	PRJNA1480144	ILPr17	fecal	Pre	17	0
SRR39238453	0	0	0	0	0	0	2.09286846765366	0	0	0	0	0	0	0	0	4.76727486127019	3.77855621593743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92512824499623	2.20301849289431	0	0	0	0	0	0	0	0	0	1.75527006612173	0	0	0	0.812939719441556	2.31652554476072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.452317830925841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21970110754281	0	0	0.452317830925841	PRJNA1480144	ILPo17	fecal	Post	17	1
SRR39238536	0	0	0	0	0	0	3.19138370900078	0	0	0.948512055791287	0	0	0	0	0	1.52703809753176	3.27240286524712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.77106078428971	1.77489777732927	0	0	0	0	0	0	0	0	0	1.69388658593826	0	0	0	0	2.61369953664576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.45188578229285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95942445625143	PRJNA1480144	ILPr18	fecal	Pre	18	0
SRR39238535	0	0	0	0	0	0	3.22972044644663	0	0	1.23758183273468	0	0	0	0	0	1.75971646170365	3.51818850262874	0	0	0	0	0	0	0	0	1.47322539063007	0	0	0.684032083573405	0	0	4.72644600864624	1.9814375204089	0	0	0	0	0	0.588070895389362	0	0	0	1.96371673523042	0	0	0	0	3.4466353283433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65730307892528	0	0	0	0	0	0	0	0	1.02437737756901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50034022027491	PRJNA1480144	ILPr19	fecal	Pre	19	0
SRR39238534	0	0	0	0	0	0	3.54220703766933	0	0	1.41292871065085	0	0	0	0	0	2.24897024326977	3.6085921190336	0	0	0	0	0	0	0	0	1.65419289314214	0	0	0	0	0	4.73525474673246	1.92194298327328	0	0	0	0	0	0	0	0	0	1.91602480886845	0	0	0	1.16345219665132	3.34584267815246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02922873052639	0	0	0	0	0	0	0	0	2.47971376282004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32949204843199	PRJNA1480144	ILPr20	fecal	Pre	20	0
SRR39238533	0	0	0	0	0	0.533611833952603	0.975826276600775	0	0	0	0	0	0	0	0	2.27762218524681	4.5872388461884	0	0	0	0	0	0	0	0	0	0	0	0.533611833952603	0	0	4.15759445608669	3.05060221105987	0	0	0	0	0	3.08125529151547	0	0	0	3.1967532578147	0	0	0	3.29273970438835	3.5683223424504	0.533611833952603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46848960081094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847686650879725	0	0	0	0	0	0	0	1.25326952583118	0	0	2.23396043146276	PRJNA1480144	ILPr21	fecal	Pre	21	0
SRR39238531	0	0	0	0	0	0	1.55726949740716	0	0	0	0	0	0	0	0	2.16434795563922	4.3706370694942	0	0	0	0	0	0	0	0	2.04039963993107	0	0	0	0	0	4.20664992322554	1.82271143821842	0	0	0	0	0	1.85931747312722	0	0	0	1.83028364822507	0	0	0	1.87988606640985	4.38669017803864	0	0	0	0	0	0	0	1.0151388811199	0	0	0	0	0	0	1.10357849761997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11787818153167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01170876653751	PRJNA1480144	ILPr22	fecal	Pre	22	0
SRR39238530	0	0	0	0	0	0	1.88005040295642	0	0	0	0	0	0	0	0	2.19128413039549	4.15345864181181	0	0	0	0	0	0	0	0	2.72116547364239	0	0	0	0	0	4.12638881892311	1.65096908827704	0	0	0	0	0	1.42060673017164	0	0	0	2.05201618375494	0	0	0	4.54894936265917	2.796068944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.114017776094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79270708802942	PRJNA1480144	ILPr23	fecal	Pre	23	0
