SAMPLE_ID	Acholeplasmatales	Acidaminococcales	Acidimicrobiales	Acidithiobacillales	Acidobacteriales	Actinomycetales	Aeromonadales	Alteromonadales	Anaerolineales	Aquificales	Bacillales	Bacteriovoracales	Bacteroidales	Bacteroidetes Order II. Incertae sedis	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Campylobacterales	Candidatus Nanosynbacterales	Cardiobacteriales	Cellvibrionales	Chitinophagales	Chlamydiales	Chromatiales	Chroococcales	Chrysiogenales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Dehalococcoidales	Deinococcales	Desulfobacterales	Desulfovibrionales	Desulfurellales	Desulfuromonadales	Eggerthellales	Endomicrobiales	Enterobacterales	Entomoplasmatales	Erysipelotrichales	Flavobacteriales	Fusobacteriales	Gemmatimonadales	Halanaerobiales	Holosporales	Hydrogenophilales	Kiritimatiellales	Lactobacillales	Legionellales	Leptospirales	Limnochordales	Magnetococcales	Marinilabiliales	Mariprofundales	Mesoaciditogales	Micrococcales	Micromonosporales	Myxococcales	Neisseriales	Nitrosomonadales	Nostocales	Oceanospirillales	Orbales	Oscillatoriales	Parachlamydiales	Pasteurellales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Selenomonadales	Solirubrobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Synechococcales	Synergistales	Syntrophobacterales	Thermales	Thermoanaerobacterales	Thermodesulfobacteriales	Thermosediminibacterales	Thermotogales	Thiotrichales	Tissierellales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
ERR1624546	1.106327866638202	0.546913385050525	0.0	0.0	0.0	0.9329310578517819	0.0	0.26505426172622915	0.0	0.0	0.6398855404513827	0.0	3.4836482310965136	0.0	0.26505426172622915	2.892433476030962	1.1340186055014796	1.8894764081149897	0.0	0.0	0.26505426172622915	0.26505426172622915	0.26505426172622915	0.0	0.0	0.0	3.996833188323828	0.546913385050525	0.26505426172622915	0.0	0.0	1.3084159840859275	0.0	0.0	1.7951368873257878	0.0	1.954947485190344	2.5924265223951313	0.0	2.776171008361046	0.0	3.0500144062255843	0.0	0.4284594231814413	0.0	0.4284594231814413	0.0	0.0	0.0	2.292505199382844	0.0	0.0	0.0	0.0	0.0	0.26505426172622915	0.0	2.2943636310471116	0.0	0.0	0.0	0.26505426172622915	0.0	0.0	0.0	0.26505426172622915	0.26505426172622915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.716421570735827	0.26505426172622915	0.0	0.26505426172622915	0.0	0.0	0.0	1.7389717358255956	0.0	0.26505426172622915	0.546913385050525	0.0	0.0	0.26505426172622915	0.0	0.0	0.0	0.0	0.7814690074151073	2.098534002910346	1.4586841642300328	0.0	0.26505426172622915
ERR1624547	0.3159202872438959	2.355489180372899	0.0	0.0	0.0	1.7099377406859744	0.3159202872438959	0.3159202872438959	0.0	0.0	0.3159202872438959	0.0	2.8167012018509388	0.0	0.0	2.8907823836393534	0.3159202872438959	1.106101635168155	0.3159202872438959	0.0	0.3159202872438959	0.0	0.0	0.0	0.0	0.0	3.9056164948243746	2.5529485951977637	0.3159202872438959	0.0	0.0	0.0	0.0	0.0	0.8703201118622164	0.0	0.0	2.3965212843880797	0.0	1.2034859893062135	0.0	3.2745366692605575	0.3159202872438959	0.0	0.0	0.0	0.0	0.0	0.0	3.638233661283089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6242082549771384	0.0	0.0	0.3159202872438959	1.848401544174985	0.0	0.0	0.0	0.0	0.0	1.3704203696412858	0.0	0.6242082549771384	0.0	0.0	0.0	0.0	1.0264455293434924	0.0	0.0	0.0	0.3159202872438959	0.0	0.0	0.0	0.0	0.3159202872438959	0.0	0.0	0.0	0.0	0.0	0.0	0.4968636465426872	0.0	0.0	0.3159202872438959	1.4596004904361204	0.0	0.0	0.0
ERR1624548	0.6992929740104189	1.146502888798389	0.0	0.0	0.0	0.8454440697631065	0.0	0.0	0.0	0.0	1.3014134954225094	0.0	3.434333291627772	0.0	0.0	2.0685860877039977	1.2791360388527586	1.9448817616247012	0.0	0.0	1.0795512954054014	0.0	0.7784876719169422	0.0	0.7784876719169422	0.0	3.9517897243311833	1.9688822845406715	0.30123187985498184	0.47739041279149613	0.0	0.8454440697631065	0.0	0.0	1.8454959504541992	0.0	0.47739041279149613	2.1496199256144326	0.0	3.0429788212099282	0.0	3.244680565473265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.170077835642059	0.0	0.0	0.6023627824327479	0.47739041279149613	0.0	0.0	0.0	1.518905387404696	0.0	0.0	0.0	1.62364335803622	0.0	0.30123187985498184	0.0	0.0	0.0	0.30123187985498184	0.0	0.6023627824327479	0.0	0.0	0.0	0.0	0.0	0.0	0.30123187985498184	0.0	1.806577344031906	0.0	0.0	0.30123187985498184	0.9034432227629604	0.47739041279149613	0.30123187985498184	0.30123187985498184	0.0	0.30123187985498184	0.8454440697631065	0.0	0.30123187985498184	0.0	0.30123187985498184	0.0	0.0	0.47739041279149613	0.0	0.0
ERR1624549	0.5555662971430839	0.0	0.0	0.0	0.0	2.7481771695084336	0.0	0.0	0.0	0.0	1.52405558877951	1.6284138714820515	3.3676580407292676	0.0	0.0	2.3700525149585046	0.9435789753289155	0.0	0.0	0.0	1.6900825921702922	0.361151782855265	0.0	0.0	0.0	0.0	4.024654854136734	2.5503111649650867	0.361151782855265	0.9435789753289155	0.0	0.0	0.0	0.0	0.6893846833674653	0.0	2.285442056855488	2.7349003002813026	0.0	2.94528631873416	0.361151782855265	2.5122010401173656	0.0	0.0	0.0	0.6893846833674653	0.0	0.0	0.0	2.7147349896985635	0.0	0.0	0.361151782855265	0.0	0.0	0.0	0.0	1.1028644070168578	0.0	0.0	0.0	1.3374836293722345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5555662971430839	0.0	0.0	0.6893846833674653	0.361151782855265	0.0	0.0	0.5555662971430839	0.0	1.4089531533401296	0.0	0.7915366263891658	0.0	0.0	0.0	0.0	0.5555662971430839	0.0	0.0	1.2823347052758303	0.0	0.0	0.0	0.0	0.5555662971430839	0.6893846833674653	0.0	0.0	0.0
ERR1624550	0.0	2.5546131873573428	0.0	0.0	0.0	0.0	0.0	0.2689427812163375	0.0	0.0	0.0	0.0	3.4412774852075763	0.0	0.0	2.4192214668947964	1.3510033550534022	0.788547203513831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6688765252098774	2.1538067911498926	0.6464271376529521	0.0	0.0	0.0	0.0	0.0	1.9869807129614157	0.0	0.0	2.002066337999602	0.0	3.8776565221107897	0.0	2.5808097738816658	0.9404187243331305	2.3712781189846406	0.0	0.0	0.0	0.0	0.0	1.7604144943251265	0.2689427812163375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9339851282304095	0.0	0.0	0.0	0.0	0.0	1.0184157318409768	0.0	0.0	0.2689427812163375	0.0	0.0	0.0	0.0	0.5529940106253584	0.8954489359322164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1141382682842618	1.2589052001760783	0.0	0.0	0.0
ERR1624551	0.2754155361814403	0.0	0.0	0.0	0.0	0.9936355816381318	0.0	0.2754155361814403	0.0	0.0	0.8572218391712675	0.0	3.4679275507556193	0.0	0.0	3.4493367129124777	1.2288657270041234	2.430223498791941	0.0	0.0	1.2288657270041234	0.0	0.0	0.0	0.8002160759445123	0.0	3.9338978936008115	2.9528300455584606	0.2754155361814403	0.0	0.0	0.0	0.0	0.0	1.3963250914672503	0.0	0.0	2.146177672393247	0.0	0.5630485600931472	0.0	2.747971108147046	0.0	0.0	0.0	0.2754155361814403	0.0	0.0	0.0	2.2216217344504168	0.0	0.0	0.44262155526541086	0.0	0.0	0.0	0.0	0.5630485600931472	0.0	0.0	0.0	2.015830935613248	0.0	0.2754155361814403	0.0	0.0	0.0	0.2754155361814403	0.6572288632789038	0.5630485600931472	0.0	0.0	0.0	0.0	0.2754155361814403	0.0	0.8572218391712675	0.0	2.2758084354712107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2754155361814403	0.0	0.2754155361814403	0.0	0.0	0.0	0.0	0.8002160759445123	0.8002160759445123	0.2754155361814403	0.0	0.0
ERR1624552	0.489217365067442	0.7134454273616719	0.0	0.0	0.0	2.3642935844921324	0.0	0.0	0.0	0.0	1.8101270243632979	0.0	2.6872992096039225	0.0	0.0	2.4176235196114573	1.162885516345198	0.6156446989665688	0.3101335163810608	0.0	0.6156446989665688	0.0	0.0	0.0	0.0	0.3101335163810608	3.7739680728971368	2.7692679341573125	0.7134454273616719	0.0	0.0	0.0	0.0	0.0	0.9702969298418643	0.0	0.0	2.323284105621193	0.0	3.4110614539235837	0.0	3.1600838626729977	0.0	0.0	0.0	0.3101335163810608	0.0	0.0	0.0	3.6866817581188793	0.3101335163810608	0.0	0.0	0.0	0.0	0.0	0.9188980671663073	1.0578051693706554	0.0	0.0	0.0	1.3596397308604795	0.0	0.0	0.0	0.0	0.0	0.9702969298418643	0.0	0.3101335163810608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3101335163810608	0.0	0.0	0.0	0.3101335163810608	0.0	0.0	0.0	0.3101335163810608	0.0	0.0	0.0	0.0	0.3101335163810608	1.1929330305216117	0.0	0.3101335163810608	0.0
ERR1624553	0.6119883619232818	0.0	0.0	0.0	0.0	1.0118870958208377	0.0	1.0118870958208377	0.0	0.30767406404600567	1.5313081531484827	0.0	3.7262558328354314	0.0	0.0	2.915174635058039	1.7453411633499634	1.4751378646956004	0.48595761527162595	0.0	1.2164953825597338	0.30767406404600567	0.0	0.0	0.709552265398772	0.0	3.9659305976656634	1.9624320513007205	0.0	0.30767406404600567	0.0	0.0	0.0	0.0	2.3555516542325012	0.0	0.709552265398772	2.1434255590742795	0.0	0.48595761527162595	1.776391995744758	2.183361959584261	0.30767406404600567	0.0	0.0	0.48595761527162595	0.48595761527162595	0.0	0.0	1.8642633772482953	0.0	0.0	1.0118870958208377	0.0	0.0	0.0	0.0	0.30767406404600567	0.0	0.48595761527162595	0.0	2.0216608240958083	0.8564264009148588	1.0533982081521986	0.0	0.30767406404600567	0.6119883619232818	0.6119883619232818	0.0	0.30767406404600567	0.0	0.0	0.0	0.48595761527162595	1.0118870958208377	0.6119883619232818	0.6119883619232818	0.0	2.3786200127330357	0.0	0.0	0.0	0.8564264009148588	0.30767406404600567	0.0	0.48595761527162595	0.0	0.0	1.6756633749139525	0.0	0.0	0.0	0.0	0.30767406404600567	0.709552265398772	1.0533982081521986	0.0	0.30767406404600567
ERR1624554	0.0	1.9056700649151637	0.0	0.0	0.0	0.9715526035603482	1.999988148549614	0.0	0.0	0.0	1.248756085335277	0.0	3.329826903341145	0.0	0.0	1.6025068387750137	0.9715526035603482	0.379183601256963	0.0	0.0	0.9015476130067143	0.0	0.0	0.0	0.0	0.0	4.004146459817863	3.0192623443203126	0.0	0.0	0.0	0.379183601256963	0.0	0.379183601256963	1.3407398190201674	0.0	0.0	2.4037608907093064	0.0	2.061960655024239	0.0	3.090678178384189	0.0	0.379183601256963	0.0	0.0	0.0	0.0	0.0	3.0151883512507225	0.5784851198268963	0.0	0.0	0.0	0.0	0.0	0.0	1.8408714621707987	0.0	0.0	0.0	0.379183601256963	0.0	2.2769997385471124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9715526035603482	0.5784851198268963	0.0	0.0	0.0	0.0	0.379183601256963	0.0	0.0	0.0	0.5784851198268963	0.0	0.0	1.4166055581322727	0.0	0.0	0.0	0.0	0.5784851198268963	2.3916436755194628	1.4606957549000321	0.0	0.0
ERR1624555	0.0	2.5260410527111903	0.0	0.0	0.0	1.5066726745280172	0.0	0.3511187840720823	0.0	0.0	0.6751812069268344	0.0	3.101375384631476	0.0	0.0	3.393366871141357	1.0863762621998903	0.3511187840720823	0.0	0.0	1.3692329911233627	0.0	0.0	0.0	0.0	0.0	3.970506311451681	3.313477328593637	0.3511187840720823	0.0	0.0	0.0	0.0	0.0	1.2023234171667156	0.0	0.3511187840720823	2.2082799428751176	0.0	1.7162064544668794	0.0	2.3640473919606304	0.3511187840720823	0.0	0.0	0.0	0.0	0.0	0.0	2.751861289587631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5426999071340264	0.0	0.0	0.0	0.3511187840720823	0.9277282465267349	0.0	0.0	0.0	0.0	0.0	0.0	0.3511187840720823	0.0	0.0	0.3511187840720823	0.0	0.0	0.3511187840720823	0.3511187840720823	0.0	0.5426999071340264	0.0	0.3511187840720823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6751812069268344	2.26172993505409	0.0	0.0	0.0
ERR1624556	0.26428053463198947	0.0	0.0	0.0	0.0	1.7026526057769034	0.0	1.2062604087820836	0.0	0.0	1.1830227468934718	0.0	2.9431285253395787	0.0	0.0	1.8971233993087657	1.2493084694803158	1.4695665405623495	0.5456998012208963	0.0	1.5050933365990262	0.26428053463198947	0.0	0.0	0.26428053463198947	0.0	3.9025221044113576	2.5850974304042253	0.26428053463198947	1.0092373302773296	0.26428053463198947	0.0	0.0	0.0	1.868539108498752	0.0	1.5969856118692631	1.9691817179911244	0.0	2.948076893450457	0.7800543716635894	2.677597921772365	0.9720755165489252	0.0	0.0	0.0	1.9367547233250426	0.0	0.0	3.708445126839428	0.0	0.0	0.42739685450468423	0.0	1.3575699479816263	0.0	0.0	0.836582041183843	0.0	0.0	0.0	2.1616336138610537	0.0	0.0	0.0	0.0	1.3243936109698249	0.26428053463198947	0.26428053463198947	0.26428053463198947	0.26428053463198947	0.0	0.5456998012208963	0.42739685450468423	0.0	0.7800543716635894	2.1222907096171384	0.0	1.9282550153052158	0.0	0.5456998012208963	0.26428053463198947	0.0	0.0	0.42739685450468423	0.26428053463198947	0.0	1.2283175962013932	0.8865922581017787	0.0	0.0	0.0	0.26428053463198947	0.7150523037155133	1.5050933365990262	1.1324478338184236	0.26428053463198947	0.0
