SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Bacilli	Bacteroidia	Betaproteobacteria	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chrysiogenetes	Clostridia	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Hydrogenophilalia	Kiritimatiellae	Limnochordia	Mollicutes	Negativicutes	Oligoflexia	Opitutae	Rubrobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Thermodesulfobacteria	Thermoleophilia	Thermotogae	Tissierellia	Verrucomicrobiae	Zetaproteobacteria
ERR1624556	0.0	0.0	0.0	2.4418324999197427	2.3600815912537967	0.0	0.0	3.7069842280745227	2.9511125694443194	2.2064410008342206	0.5437914497807722	0.26306544043165986	1.3218504628144478	0.0	3.900534927844212	2.6756971804634486	1.0068294114904472	0.26306544043165986	0.0	1.2258058581458915	2.0671828021306324	0.0	1.4669873441643193	2.674933519875709	0.9696910058771833	0.0	2.9735871865568537	0.0	0.0	0.0	0.425726721659154	0.8343020215488567	2.060942879530578	0.0	0.0	0.0	0.5437914497807722	0.0	0.26306544043165986	0.0	0.0	0.0	0.7128981464243201	1.129975186137425	0.0
ERR1624557	0.0	0.0	0.0	2.885353748197265	0.8741446774323902	0.0	0.0	2.322935569046695	3.5459784292273206	2.160103547716658	0.0	0.0	0.0	0.0	3.9370151148666976	2.6819914644132514	0.0	0.0	0.2847267529010423	0.0	1.2906188652980293	0.0	1.7232380803694045	2.824138022416471	2.0352385872908427	0.0	1.7232380803694045	0.0	0.0	0.0	0.0	0.6725827198834414	3.3326346392002004	0.0	0.0	0.0	0.0	0.0	0.5773697245821312	0.0	0.0	0.2847267529010423	0.5773697245821312	0.4552446976006264	0.0
ERR1624558	0.0	0.0	0.0	2.3981282039918734	2.1645405128392867	0.0	0.0	3.7959299415939305	2.9677367236120937	1.9140004995587432	0.0	0.0	1.000170059562876	0.0	3.7776882390180293	3.122404686659263	0.301124481419947	0.0	0.0	0.0	2.3749364998812883	0.0	0.0	2.773243325757709	1.361908573427608	0.4772472311600663	2.929096418695165	0.0	0.0	0.0	0.0	0.4772472311600663	2.136908139210057	0.301124481419947	0.0	0.0	0.301124481419947	0.0	0.4772472311600663	0.0	0.0	0.0	0.7783087152252621	0.301124481419947	0.0
ERR1624559	0.0	0.0	0.0	2.107935739784569	1.6134975104455391	0.0	0.0	3.1966306669425033	3.559799612357665	1.833229644619828	0.30139588969361064	0.0	0.0	0.30139588969361064	3.7720983271814754	2.519243205183918	0.0	0.0	0.0	0.30139588969361064	1.9645113631470463	0.0	0.7787609026193365	3.0353592618253376	1.733111705138675	0.0	3.551326481838057	0.0	0.0	0.0	1.0798518164634645	1.1767740120822234	2.515276997647492	0.30139588969361064	0.0	0.0	0.0	0.0	0.30139588969361064	0.0	0.0	0.0	0.30139588969361064	0.0	0.0
ERR1624560	0.0	0.0	0.0	2.8838712907427744	0.507257222542378	0.0	0.0	3.630580464911867	3.033415673214487	2.0171324985881998	0.0	0.0	1.3433664927765943	0.0	3.5722006155537565	3.2003679073962843	0.507257222542378	0.0	0.0	0.0	2.4960914972793264	0.0	0.0	2.3866849686356066	0.32382574075512055	0.9939763559293524	3.414208651733779	0.0	0.0	0.0	0.0	1.2177194877893054	3.3013891659639194	0.8834736792656939	0.0	0.0	0.6358200659459259	0.0	0.0	0.0	0.0	0.0	0.9422301404056885	1.8763414701287393	0.0
ERR1624561	0.0	0.0	0.0	2.663569910627285	1.826492890691048	0.0	0.0	4.010452316567628	3.08680484198013	2.0142485097881093	0.0	0.0	0.0	0.0	3.4999253866425035	2.6410217890124303	0.0	0.5551870940159528	0.9431133638444058	0.0	1.2513943253472228	0.0	1.1023804144407945	2.6732274139640713	0.0	0.0	2.6266429786497	0.0	0.0	0.0	0.0	0.3608551528034884	2.2819902494007986	0.0	0.0	0.0	0.0	0.0	0.6889666950221472	0.0	0.0	0.0	0.0	1.1446934144017538	0.0
ERR1624562	0.0	0.0	0.0	2.8720799323910082	1.7243737994562278	0.2969628634895588	0.0	3.8213252583514756	2.971384309457147	2.138014247879092	0.0	0.0	0.0	0.0	3.6351831243604327	2.9532573974110052	1.510591157804645	0.0	0.0	0.0	1.4071178304419116	0.0	0.5959449201800553	3.076767646441863	0.8959473134981708	0.2969628634895588	3.217658183306079	0.0	0.0	0.0	0.5959449201800553	0.0	2.303621390502751	0.0	0.0	0.0	0.4716899034762738	0.0	0.4716899034762738	0.0	0.0	0.0	0.6924441839780293	0.2969628634895588	0.0
ERR1624563	0.0	0.0	0.0	1.9516924618679883	1.0346422480086408	0.0	0.0	4.067376644459952	2.8782223369720747	1.7868284565780015	0.0	0.0	0.0	0.0	3.0079357023080093	2.033041529402007	0.34806973316672096	0.0	1.5782240793923266	0.0	1.9692270289574234	0.0	0.0	2.109897219571375	0.5387729885785854	0.34806973316672096	3.446996946240943	0.0	0.0	0.0	0.0	0.8539393151764392	1.655489453108346	0.0	0.0	0.0	0.0	0.0	0.34806973316672096	0.0	0.0	0.0	0.5387729885785854	0.0	0.0
ERR1624564	0.0	0.0	0.0	3.051489090127706	1.0710061243953835	0.0	0.0	3.3152815565266462	3.4835686580978122	1.3840007539257786	0.0	0.0	0.0	0.0	3.7755665846379234	3.060977360119709	0.542429695142175	0.0	0.0	0.0	2.400261636279313	0.0	0.542429695142175	3.2405784639127106	0.0	1.7648997828067392	2.9830585721518768	0.0	0.0	0.0	0.0	1.265000692627167	2.459111001500364	0.7113602434337777	0.0	0.0	0.4245355150341097	0.26219956426725105	0.8326738573341207	0.0	0.0	0.0	1.154212317588056	2.0230321536107003	0.0
ERR1624565	0.23491302655954013	0.23491302655954013	0.0	2.785480860940335	1.070535294286375	0.0	0.0	3.342205423356356	3.479047458612506	1.8308034404296687	0.0	0.23491302655954013	0.8726270073693987	0.0	3.818485579817885	2.9001628867555764	0.0	0.912521965301757	1.4512865819477607	0.5877398662237917	2.0948939477115367	0.0	1.7155610690753316	2.8616390348352834	0.5877398662237917	0.0	3.3849566030006324	0.0	0.0	0.0	0.0	0.4986817045927826	2.0690959262287203	0.0	0.0	0.0	0.0	0.23491302655954013	0.4986817045927826	0.0	0.0	0.23491302655954013	0.9490584624503317	1.709520177187885	0.0
