SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SRR13357784	0.0	1.285684659605689	0.0	0.0	4.25904484465998	0.0	0.0	0.0	1.2283481339106175	0.0	0.0	0.0	0.0	0.0	0.41360090672636957	0.0	0.0	0.0	0.0	0.0	4.283347501982961	1.285684659605689	0.25428173279386923	0.5299042798984541	0.41360090672636957	0.0	0.5299042798984541	2.794761537754403	0.0	0.41360090672636957	0.8176504955145028	0.0	0.0	0.621549437172399
SRR13357829	0.0	1.085192271123507	0.0	0.2692838016068666	1.96808592795203	0.0	0.0	0.0	0.0	0.2692838016068666	0.0	1.1148198886572582	0.0	0.4342554874118388	0.7238737090797037	0.0	0.0	0.0	0.0	0.0	4.554494431191063	0.0	0.0	0.0	0.0	0.0	0.0	3.3060238877960466	0.0	1.2988184944891432	1.5268910704707475	0.0	0.0	0.7891654882397066
SRR13357840	0.0	3.3285471027653775	0.0	0.0	2.0751947888263778	0.0	0.0	0.0	0.3999476836681922	0.0	0.0	1.2072529095104554	0.0	0.3999476836681922	0.6045681382356459	0.0	0.0	0.0	0.0	0.0	4.526716615522749	0.847963314085739	0.0	0.0	0.0	0.0	0.3999476836681922	3.3235895670988	0.0	1.0637493251259744	1.4264612517431683	0.3999476836681922	0.0	0.6045681382356459
SRR13357851	0.0	2.6021056541135663	0.0	0.0	1.797422203139425	0.0	0.0	0.0	0.0	0.0	0.0	0.6616714673445472	0.0	0.0	0.23494770636009518	0.0	0.0	0.0	0.0	0.0	4.473503968617562	0.38657085283667003	0.0	0.23494770636009518	0.0	0.0	0.0	3.892269037057583	0.0	0.0	1.4728743188624094	0.23494770636009518	0.0	0.4987383830693205
SRR13357862	0.0	2.426465985136166	0.0	0.536572533596423	2.333910185430084	0.0	0.0	0.0	0.0	0.0	0.0	1.8408781333687936	0.0	0.0	1.4048528004179697	0.0	0.0	0.0	0.0	0.536572533596423	4.282689097385955	0.536572533596423	0.0	0.536572533596423	0.536572533596423	0.0	0.0	4.237897238062996	0.0	1.4048528004179697	2.964222885240691	1.7180226538971108	0.0	0.7693938134883481
SRR13357892	0.0	1.4388287556719317	0.0	0.0	2.206073558041204	0.0	0.0	0.0	0.0	0.0	0.0	0.28164535922380873	0.0	0.0	0.4510779117631778	0.0	0.0	0.0	0.0	0.0	4.438300820388018	0.9644595481513613	0.28164535922380873	0.0	0.0	0.28164535922380873	0.0	4.017499993381987	0.0	0.0	0.8113175966175464	0.0	0.28164535922380873	0.4510779117631778
SRR13357893	0.6366854678329499	3.2431086204836266	0.0	0.0	2.58828129123384	0.0	0.0	0.0	0.6366854678329499	0.0	0.0	1.9426588932802336	0.0	0.0	1.041231209011735	0.0	0.0	0.6366854678329499	0.0	0.0	4.486361476661502	1.041231209011735	0.0	0.6366854678329499	0.0	0.0	0.0	3.5436008418739364	0.0	0.0	3.2051170906336153	1.7073960326161501	0.0	0.6366854678329499
SRR13357899	0.0	2.7339654050602955	0.0	0.0	4.186865094380191	0.0	0.0	0.0	2.4283160935980446	0.5111662276956197	0.0	1.5399484236632417	0.0	0.5111662276956197	0.7395150410204643	0.0	0.5111662276956197	0.0	0.0	0.5111662276956197	4.25022475664555	3.053098747054784	0.0	0.8883993101807631	0.7395150410204643	0.0	1.2777719618811956	3.4557854707078017	0.0	0.9990674956143435	0.5111662276956197	0.0	0.0	0.7395150410204643
SRR13357910	0.23497509049192655	2.1707046480019807	0.0	0.8288195932988589	2.0823337785546383	0.0	0.0	0.0	0.23497509049192655	0.23497509049192655	0.0	1.6781325388688946	0.0	0.872755635078459	0.9828913917098465	0.0	0.0	0.23497509049192655	0.0	0.0	4.110397792378807	4.156809027136993	0.0	0.0	0.0	0.0	0.0	4.018286782397576	0.0	1.5752837339106986	0.7799331914444046	0.23497509049192655	0.0	0.3866094806571306
SRR13357921	0.0	3.97888858194581	0.0	0.0	3.888778475787491	0.0	0.0	0.0	0.2876660872891916	0.0	0.45920973706831203	0.2876660872891916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.30786552014671	0.6773857992504329	0.0	0.2876660872891916	0.0	0.0	0.0	2.6505136756830794	0.2876660872891916	0.2876660872891916	1.0889411841878653	0.0	0.0	0.5818566862807271
SRR13357925	0.0	1.4591186874530067	0.0	0.0	4.486142978393227	0.0	0.0	0.0	0.2483946029503172	0.0	0.0	0.0	0.0	0.0	0.2483946029503172	0.0	0.0	0.0	0.0	0.0	3.867248034482353	0.40542082167490257	0.0	0.2483946029503172	0.2483946029503172	0.0	0.0	1.2905072348003799	0.40542082167490257	0.0	0.0	0.2483946029503172	0.0	0.6865102619636296
