Acetothermia	Acidobacteria	Actinobacteria	Aerophobetes	AncK6	Armatimonadetes	Atribacteria	Bacteroidetes	BRC1	Caldiserica	Calditrichaeota	Chlamydiae	Chloroflexi	Chlorophyta_ph	Cloacimonetes	Crenarchaeota	Cyanobacteria	Dadabacteria	Deferribacteres	Deinococcus-Thermus	Dependentiae	Elusimicrobia	Entotheonellaeota	Epsilonbacteraeota	Euglenozoa	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	GAL15	Gemmatimonadetes	Halanaerobiaeota	Hydrogenedentes	Kiritimatiellaeota	Latescibacteria	LCP-89	Lentisphaerae	Margulisbacteria	Marinimicrobia_(SAR406_clade)	Modulibacteria	Nanoarchaeaeota	Nitrospinae	Nitrospirae	Patescibacteria	Planctomycetes	Proteobacteria	Rokubacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermotogae	Verrucomicrobia	Vertebrata	WOR-1	WPS-2	WS1	WS2	WS4	Zixibacteria	others	BioProject	sample_alias	env_material	time	ID	prepost
SRR39238470	0	1.40295810728115	4.02312441154158	0	0	0	0	4.13636282269458	0	0	0	0	1.03615090807529	0	0	0	1.42827573941219	0	0.515508001986712	0	0	0	0	0.401083108508905	0	0	0	4.52020495084194	2.89536070322136	0	0.970805722169401	0	0	0	0	0	0	0	0	0	0	0	0.60598532465772	0	0.401083108508905	3.5253474734499	0	0.744643118274811	0	0	0	0.515508001986712	2.17545254820776	0	0	0	0	0	0	0	0.934033296962658	PRJNA1480144	SDPr09	fecal	Pre	9	0
SRR39238469	0	0.992353158577063	2.95215366180396	0	0	0	0	4.41087700420591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15345506002409	0	0	0	4.48331917649186	1.81281064208977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65858787681936	0	0	0	0	0	0	1.24422140900658	0	0	0	0	0	0	0	0	PRJNA1480144	SDPr10	fecal	Pre	10	0
SRR39238468	0	0	1.69801423738242	0	0	0	0	3.98297875650545	0	0	0	0	0	0	0	0	0.660611582210889	0	0	0	0	0	0	2.50754102945626	0	0	0	4.03052685921939	4.33674302587956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.27180621415531	0	1.53641134109553	0.529543553765435	0	0	0	0	0	0	0	0	0	0	0	2.76113745606837	PRJNA1480144	SDPr11	fecal	Pre	11	0
SRR39238467	0	0.911253773843523	3.2123447259114	0	0	0	0	4.36503684708964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23478142554812	4.20352600505659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57728202887441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.483355156472562	PRJNA1480144	SDPr12	fecal	Pre	12	0
SRR39238466	0	0.805349659444751	2.84730481561037	0	0	0	0	4.37978763359478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02930244334566	0	0	0	4.52174996674273	0	0	0.499014544879091	0	0	0	0	0	0	0	0	0	0	0	0.626613941464702	0	0	3.57687071877361	0	0	0	0	0	0	1.30954484571725	0	0	0	0	0	0	0	0	PRJNA1480144	SDPr13	fecal	Pre	13	0
SRR39238465	0	2.07118618923136	3.04668499904223	0	0	0	0	4.41431932698178	0	0	0	0	1.18927482366208	0	0	0	0.637235465859563	0	0	0	0	0	0	2.25821291024508	0	0	0	4.49864711314152	3.03703262744844	0	0.943860705833672	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817064885894595	3.06286807372231	0	0	0	0	0	0	1.1218011409604	0	0	0.736392234345892	0	0	0	0	2.74430732789219	PRJNA1480144	SDPr14	fecal	Pre	14	0
SRR39238464	0	0.792164296630922	2.8818437451849	0	0	0	0	4.38374447305035	0	0	0	0	0	0	0	0	0.712431124655214	0	0	0	0	0	0	2.38960452768995	0	0	0	4.45411573057674	3.39040272001621	0	0.488367630283645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.59263815290972	0	0	0	0	0	0	3.22787263207042	0	0	0	0	0	0	0	1.24624281992161	PRJNA1480144	SDPr15	fecal	Pre	15	0
SRR39238463	0	0	2.6109253093825	0	0	0	0	4.30397178477992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9772706438671	4.44322352501668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.59693095735122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.936909238700794	PRJNA1480144	SDPr16	fecal	Pre	16	0
SRR39238549	0	1.05276827885254	2.75559230357595	0	0	0	0	4.04550717562019	0	0	0	0	0	0	0	0	1.05276827885254	0	1.14191723657985	0	0	0	0	0	0	0	0	4.17284454439078	3.44038398672887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90720963561186	0	4.47560153367189	0	0	0	1.35927294129843	0	0.940464161322351	3.22294164026605	1.33412922167999	0	0	0	0	0	0	2.84242540761692	PRJNA1480144	SDPo16	fecal	Post	16	1
SRR39238462	0	0	1.75879936080806	0	0	0	0	4.67359253005519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57227151094662	0	0	0	4.13236639624035	2.26238033532391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46713061591319	0	0	0	0	0	0	1.8619099472889	0	0	0	0	0	0	0	1.60529131811408	PRJNA1480144	SDPr17	fecal	Pre	17	0
SRR39238461	0	0.992583261886173	2.16644819819507	0	0	0	0	3.93034703539423	0	0	0	0	0.733625458650691	0	0	0	0	0	0	0	0	0	0	2.15986316002585	0	0	0	4.31381327911954	2.68329177151005	0	0.506189454321505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50243059456167	0	0	0	0.814192358812519	0	0	0	0	0	0	0	0	0	0	1.53294569047832	PRJNA1480144	SDPr18	fecal	Pre	18	0
SRR39238491	0	0	1.49392088871296	0	0	0	0	4.70444656022856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04113577197108	1.76255666887443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40447023714909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PRJNA1480144	SDPr19	fecal	Pre	19	0
SRR39238490	0	0	3.55234890085738	0	0	0	0	4.56228997311173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78230838960725	0	0	0	4.28351763461252	3.11692180171536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01258086846301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83775393599648	PRJNA1480144	SDPr20	fecal	Pre	20	0
SRR39238489	0	0	1.82942795578948	0	0	0	0	4.51774813416092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39708113037768	0	0	0	4.22391869666121	1.79587292275993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.06672478566852	0	0.678085107946907	0	0	0	0	0	0	0	0	0	0	0	0	1.08975434764757	PRJNA1480144	SDPr21	fecal	Pre	21	0
SRR39238488	0	0	3.30211461169955	0	0	0	0	4.52675072527195	0	0	0	0	0	0	0	0	0.663981828056269	0	0	0	0	0	0	3.39182647572137	0	0	0	4.34992659846708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08585232731951	0	0	0	1.02672200044586	0	0	0	0	0	0	0	0	0	0	1.41980510741512	PRJNA1480144	SDPr22	fecal	Pre	22	0
SRR39238487	0	1.50588172750172	2.81162722589143	0	0	0	0	3.31278956158203	0	0	0	0	1.58606526764595	0	0	0.589808987528093	0.388167008743264	0	0	0	0	0	0	1.188751457676	0	0.663788142724628	0	4.55078475182424	4.00357706536757	0	0.663788142724628	0	0.589808987528093	0.726980629203936	0.388167008743264	0	0	0	0	0	0	0	0.388167008743264	0.782135395964078	0.663788142724628	4.12193859786166	0	1.07308670534373	0	0	0	0	1.52502319652281	0	0	0	0	0	0	0	1.14610735135115	PRJNA1480144	SDPr23	fecal	Pre	23	0
SRR39238486	0	2.37022372341097	2.75391271570274	0	0	1.6043818399811	0	4.1625633647855	0	0	0	1.24445527494922	2.46676324699504	0	0	0	2.49791797088116	0.438204153614518	0	0.438204153614518	0	1.19905100340931	0.558023579574297	1.43365702356123	0	0.65183278809461	0.438204153614518	4.1880629577421	3.09894175740085	0.558023579574297	1.77368347749058	0	0	0	0.901537486991894	0	0	0	0	0	0.558023579574297	1.14833960113474	1.49831202415099	0.946593955847587	1.54389222027498	4.44486926543871	1.12057533473274	2.82961768496851	0	0	1.02472154308053	0	2.1934441551658	0	0	0	0	0.438204153614518	0.65183278809461	0	2.17105898026527	PRJNA1480144	SDPr24	fecal	Pre	24	0
SRR39238548	0	3.2617388134715	3.48858042222302	0	0	0	0	4.39954486475774	0	0	0	0	2.98660960762523	0	0	0	2.30067217800191	0	0	0	0	0	0	1.93820097367915	0	0	1.90989704899997	4.14065297864429	2.32005520241694	0	2.74472298818905	0	0	1.57384058624749	0	0	0.918905793479969	0	0	0	0	0	2.24581110935999	2.35290335784679	0	4.17198727947264	0	1.2842450061892	1.1389099256001	1.8239328648939	0	0	0	0	0	2.21794674713241	0	0	0	0	2.41502867664571	PRJNA1480144	SDPo24	fecal	Post	24	1
SRR39238485	0	2.67488766029355	2.93458700841476	0	0	1.54604868138792	0	4.20821089503049	0.487181112833885	0	0	1.29298045291069	2.57606459830091	0	0	0	2.62669098071121	0	0	0.487181112833885	1.0135264699947	0	0.711014170524132	0.857989856353719	0	0	0.487181112833885	4.15466139871274	2.32242711565918	0	2.07557331381328	0.487181112833885	0	0	0	0	0	0	0	0	0	0	1.61669487842918	1.0135264699947	1.99712131756321	4.44380187433171	1.3946000582601	2.6814899276507	0.711014170524132	0.857989856353719	1.37608989736398	0	2.21630809441984	0	0	0	0	0	0.790690080197683	0	2.13874447490252	PRJNA1480144	SDPr25	fecal	Pre	25	0
SRR39238547	0.657881456638462	2.96633907882002	3.68120928741013	0	0	1.09805768264905	0	4.15875166091891	0.443156462927623	0	0.563656564205783	0.563656564205783	2.7799529321532	0.800920316232633	0.443156462927623	2.24713238307682	3.52135240571854	0	0	1.06617367413347	0.657881456638462	0.657881456638462	0	2.53809339283824	0	0.90833903418591	0.735263354755377	4.11715075482225	3.18633079024596	0	2.50445772750916	0	0	0.563656564205783	0	0	0	0.90833903418591	0	0	1.6480751955987	0	2.10674773958362	1.68141731534344	1.65665375939278	4.13402890431216	0.90833903418591	0.657881456638462	1.06617367413347	0	0	0	2.72406866096524	0	0.563656564205783	1.09805768264905	0	0	0	0	3.88672798762436	PRJNA1480144	SDPo25	fecal	Post	25	1
SRR39238484	0	0	2.72893979871267	0	0	0	0	4.409941912846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94855405800749	0	0	0	4.13211943084821	4.10623423299206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94833679845719	0	0	2.13456870671099	0	0	0	2.13036288576923	0	0	0	0	0	0	0	1.39179324600155	PRJNA1480144	SDPr26	fecal	Pre	26	0
SRR39238546	0	0.531364957335713	2.48697744973145	0	0	0	0	4.51026827244986	0	0	0	0	0	0	0	0	0	0	0.763294382608449	0	0	0	0	1.43759500453062	0	0	0	4.24898308336062	3.96876025677764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2011811424767	0	0	2.41313893581787	1.55372608553947	0	0	0.66263148324839	0	0	0	0	0	0	0	1.95888171509766	PRJNA1480144	SDPo26	fecal	Post	26	1
SRR39238483	0	0	2.98743617947032	0	0	0	0	4.33313996077293	0	0	0	0	1.158249917155	0	0	0	0	0	0	0	0	0	0	1.23988022457803	0	1.33922556569072	0	4.54821602278542	2.44844837104715	0	0	0	0	0	0	0	1.05764022073198	0	0	0	0	0	0	0	0	3.54467169967249	0	1.36786099349866	0	0.842228241511867	0	0	0.737623748601469	0	0	0	0	0	0	0	1.33922556569072	PRJNA1480144	SDPr27	fecal	Pre	27	0
SRR39238482	0	0	3.09161664829834	0	0	0	0	4.42943561419252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1031271052713	0	0	0	4.46271327832841	2.03441081884012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.621749117204186	0	3.54888640672069	0	0	0	1.88903493361813	0	0	2.93020151218508	0	0	0	0	0	0	0	1.2550172666538	PRJNA1480144	SDPr28	fecal	Pre	28	0
SRR39238545	0	2.93238692605722	3.59660598997096	0	0	1.81380860344467	0	4.03318173181193	0.731810166274717	0	0	0	2.47157434895289	0	0	0	2.48800587808181	0	0	0.797357451515776	1.48954633331905	0	0	2.06479485070848	0	0	2.16684215769856	4.02237314432579	2.52938297517756	0	3.19348754616151	0.854296802627264	1.062303509849	0	0	0	0	0	0	0	0	0	1.24778783652684	2.29428229076304	1.17773254275559	4.49125968121171	0	1.54732465464775	1.85831172466355	1.96137656588016	0	1.17773254275559	2.78270242594851	0	0	0	0	0	0	0	2.84475481840152	PRJNA1480144	SDPo28	fecal	Post	28	1
SRR39238480	0	2.20869106306155	3.30712761710422	0	0.946387415537726	0.837525945378672	2.61956291349939	4.52228711610814	0	0	1.61461499630206	0	2.63165484296275	0	0	1.40646992639854	1.55959617224938	0	1.89435464869121	0	0	0.946387415537726	0	1.65410504154864	0	1.86050543755987	0	4.31873706176846	2.59755644165176	0	0.895358727961012	0	0	0.47124329395446	0.47124329395446	0.770791284243673	0	0	0	0	0	0	1.43863007417563	2.26995359322015	0.837525945378672	3.46711753030978	0	2.4193210965518	1.49658214785595	1.49658214785595	0	0	2.28786328208768	0	0	0	0	0	0	1.13791893316915	2.27450073101418	PRJNA1480144	SDPr29	fecal	Pre	29	0
SRR39238479	0	2.46207207033828	3.06545121154759	0.876573268982333	0	1.34654875376696	2.18160745822392	4.07838900350459	0.420209848619028	0	1.55724357895799	0	3.15812170280369	0	0	2.44967081531201	1.69135036426804	1.03299066773158	1.43304344588792	0.629723325610062	0.92126636070122	0.537480193575593	0	2.206531331234	1.14774784050343	2.22167820811314	0.629723325610062	4.50619457343763	3.84094689417223	0	1.65370982614237	0	0	0	1.34654875376696	0	0	0	0.629723325610062	0.420209848619028	0.92126636070122	0	1.82657582421424	1.94989290355736	0	3.76879299300304	0	2.24446192897809	0	1.3302968708857	0	0	2.25047369145427	0.537480193575593	0.770455642992874	0	0	0.537480193575593	0	1.53714578459863	2.61419261992188	PRJNA1480144	SDPr30	fecal	Pre	30	0
SRR39238478	0	0.50610396293347	2.62700472464616	0	0	0.50610396293347	0	4.57254230842189	0	0	0	0	0.50610396293347	0	0	0	1.29578285283157	0	1.03868636394903	0	0	0	0	1.82744105710168	0	0	0	4.24911713186085	2.08773540265045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35855309592327	0	3.73341031316095	0	0	1.48848019078081	0.992471677970404	0	0	2.41735602000434	0	0	0	0	0	0	0	1.58568208492032	PRJNA1480144	SDPr31	fecal	Pre	31	0
SRR39238544	0	0	2.8139320355744	0	0	0	0	4.61356703335966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23175110169092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.532293895739712	0	3.43982258322875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32295409246098	PRJNA1480144	SDPo31	fecal	Post	31	1
SRR39238477	0	1.55961066476641	2.49388131800703	0	0	0	0	4.50265150516674	0	0	0	0	1.06021579719974	0	0	0	0.586604980160407	0	0	0	0	0	0	3.27418631226423	0	0	0	4.31432613510599	3.52520000429225	0	0.981386874557567	0	0.463410878732495	0	0	0	0	0	0	0	0	0	0.586604980160407	1.15677320074627	0	3.54606530394478	0	0	0.88500481131671	1.18471372723042	0	0	2.00477477519708	0	0	0	0	0	0	0	1.70394496318115	PRJNA1480144	SDPr32	fecal	Pre	32	0
SRR39238460	0	1.77199608154387	2.58569586650397	0	0	1.1567669616142	0	4.27012089112163	0	0	0	0	1.28135268566372	0	0	0	0	0	0	0	0.682459524744001	0	0	1.83688934008748	0	1.39505147646094	0	4.23880919498751	3.95067921940068	0	1.75776705326813	0	0	0	0	0	0	0	0	0	0	0	0	1.68724839767751	0.463406479392359	4.20080783978066	0	0	0.884998978714349	2.17252266583103	0	0	2.04390299166687	0	0	0	0	0	0	0	1.6231970899104	PRJNA1480144	SDPr33	fecal	Pre	33	0
SRR39238459	0	0	1.74328065636577	0	0	0	0	4.46392423016588	0	0	0	0	0.899872509737904	0	0	1.79456982846267	1.01091877436084	0	0	0	0	0	0	2.23605867378899	0	0	0	4.31901924013482	1.64149920008754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38267434678928	0	3.89320570722474	0	0.520306673241286	0	1.57999388941119	0	0	1.86167273649071	0	0	0	0	0	0	0	3.54325516814231	PRJNA1480144	SDPr34	fecal	Pre	34	0
SRR39238543	0	0	2.1276640374181	0	0	0	0	4.55124663174868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37075070994853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25718467535169	0	0	2.74626165646193	0	0	0	0	0	0	0	0	0	0	0	2.24951388256971	PRJNA1480144	SDPo34	fecal	Post	34	1
SRR39238458	0	0	2.53474343975797	0	0	0	0	4.15276059944074	0	0	0	0	0	0	0	0.694493973316395	0.773487713206864	0	1.93894445790753	0	0	0	0	3.00724041479247	0	0	0	4.52276172653188	1.40958787785375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71050947999537	0	4.07657295791593	0	0	0	1.75037148253858	0	0	0	0	0	0	0	0	0	0	2.83950381082342	PRJNA1480144	SDPr35	fecal	Pre	35	0
SRR39238542	0	0	1.86451539584451	0	0	0	0	4.62371553250347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22227054641184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33281864564777	0	0	0.522321063949165	0	0	0	2.86331955216936	0	0	0	0	0	0	0	1.76389098233174	PRJNA1480144	SDPo35	fecal	Post	35	1
