Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae_1	Clostridiales_vadinBB60_group	Coriobacteriaceae	Coriobacteriales_Incertae_Sedis	Corynebacteriaceae	Desulfovibrionaceae	Dysgonomonadaceae	Eggerthellaceae	Elusimicrobiaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Family_XI	Family_XIII	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Marinifilaceae	Methanobacteriaceae	Micrococcaceae	Mitochondria	Muribaculaceae	Neisseriaceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudonocardiaceae	Puniceicoccaceae	Rhizobiaceae	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Staphylococcaceae	Streptococcaceae	Synergistaceae	Tannerellaceae	Veillonellaceae	Victivallaceae	others	BioProject	sample_alias	env_material	Group	ID	prepost
SRR31418708	3.55564166966734	0	0	0	0	3.79432915683876	1.69787434024284	0	3.38147130691576	0	0	0	1.31641268452788	0	1.63361492930666	0	0	1.9295671223677	0	0	0.89539552705636	1.88340374083474	0	1.29805917010022	0	0	1.70527731716648	3.76264629868728	0	0	0	0	0	0	0	0	0	0	0	2.07045048052604	0	4.33642952803276	0	0	0	1.63361492930666	3.66424096455924	0	0	1.29805917010022	0	2.77404058859069	2.0829340917796	0	4.58770859537511	PRJNA1188648	005-6M	fecal	6M	5	1
SRR31418681	3.78981079313058	0	0	0	0	4.2137746588179	2.32097760464193	1.45302892769314	3.43470523999232	0	0	1.28452218012098	0	0	0	0	0	2.92776605682803	0	0	0	2.55995296278128	0	1.34823467022404	0	1.80187011691371	0	4.17480481514825	1.20982886566692	0	1.00548196274959	2.73442930416163	0	0	0	0	0.745349141553436	0	0	0	0	4.54700396046937	0	0	0	2.61619960019155	3.44856440714219	0.850320520055549	0	0	0	3.42785293270008	2.78926555335904	0	2.29497534829199	PRJNA1188648	005-12M	fecal	12M	5	1
SRR31418704	3.40430691881974	0	1.5961167841531	0	0	4.20352134712016	1.69324413588464	1.76443866245013	3.17885821442973	0	0	0	0	0	1.87918291633892	1.1842308624955	0	2.34605798441951	0	0	0	0	0	1.64198295767117	0	0	1.83962042556651	3.84243463271436	2.25017389380025	0	0	2.49101056210563	0.50481124239942	1.11681613907475	0	0	0	1.36125647930608	0	0.990783592261676	0	3.69012860947128	0	0	0	3.01073969662753	3.65303819499044	0	0	2.36085937583546	0	2.6578059390949	2.53492936099123	0	4.65076002550628	PRJNA1188648	006-BL	fecal	Baseline	6	0
SRR31418705	3.2300231474399	0	0	0	0	4.3183087683143	1.16467097979221	0.699243230843523	3.32375846552435	0	0.991532746697316	0	0	0	0	0	0	1.42521030919015	0	0	0	2.39793257373886	0	1.55904064654805	0	0	3.74798626457701	3.94903800185884	0	0	1.11425859840895	1.55904064654805	0	1.11425859840895	0	0	0	0	0	1.51884510143151	0	2.92637469820601	0	0	0	1.67611264595677	3.17856979075592	0	1.25074232996482	1.96128396707818	0	3.31727571529548	2.30526097654643	0	4.60154290933252	PRJNA1188648	006-6M	fecal	6M	6	1
SRR31418706	3.49012759183238	0	2.53942004729222	0	0	4.57600031966743	0	0.829597632200417	3.4137144376032	0	0	0	0	0	2.50696163413009	0	0	2.27199112787156	0	0	0	2.77777119180516	0	2.08581108283383	0	0	2.72618789520042	4.19863536220927	1.61576053887698	0	0	1.75302737943556	0	0	0	0	0	1.61576053887698	0	0	0	2.88443150024609	0	0	0	2.76076682985342	4.18443274725719	0	0	2.37463347630585	0	3.5007757208187	3.43899263073715	0	1.9505436096694	PRJNA1188648	006-12M	fecal	12M	6	1
SRR31418701	3.58533746977297	0	0	1.1945518328594	0	3.83467036467891	0.520270095694031	2.04336059232981	2.71790310302225	0.611138364567435	0	0	0	0	1.89271983721435	0	0	2.03417186614932	0	0	0	1.83796001216286	0	3.00943722591169	0.94007984943481	0	0	4.08658569615838	2.28384079280966	0	0	2.56133908480467	0	1.67456193834027	0	0	1.40952668510207	0	0	1.86162106895415	0	4.05970648077041	0	0	0	2.97323351083042	3.35654794756328	0.899826719320261	0	2.22016166618674	0	3.15153970697496	3.21597173063915	0	4.61100887610594	PRJNA1188648	007-BL	fecal	Baseline	7	0
SRR31418702	2.54370823399357	0	0	0	0	3.95263503267876	0	2.27745663115053	3.32751206644046	0	0	0.726874100448994	0	0	1.903390664613	0	0	2.11711907404184	0	0	1.41343166991956	2.83869592032858	0	3.53620515512442	0	0.874928326133542	1.76638600545755	3.62039908872928	0	0	0	2.20169969233714	0	0	0	1.51061969524204	0	0	0	1.37551668093971	0	3.90471538257995	0	0	0	2.94944005999739	3.64515426339918	0	0	0	0	3.42764372273331	3.33344507318418	0	4.65953942893755	PRJNA1188648	007-6M	fecal	6M	7	1
SRR31418703	3.19764918129593	0	1.46004303113765	0	1.43739763616454	4.1199992346322	2.49776154963302	2.68274156192392	2.93436817614966	0	1.33276198025853	1.05146166922479	0	0	3.12294104615928	0	0	2.82367325853815	0	1.66678310465303	0	2.98792541764759	0	3.0864445029309	1.63846403921691	0	0	3.9825830259583	0	0	0	2.58704625324753	0	0	0	0	0	0	0	2.51946280016079	0	4.41513123896527	0	0	0	3.31508639660811	4.23335896882132	0	0	2.71824679332458	0	3.759437539452	3.218921481211	1.15194784959492	1.74210360138889	PRJNA1188648	007-12M	fecal	12M	7	1
SRR31418697	2.36733745840646	0	0	1.12231413157393	0	4.10606073528641	0	3.14163435512124	3.43916510473045	0	0	0	0	0	2.29815786874677	0	0	1.97369476719908	0	0	0	2.96876030080786	1.52730323581149	1.61306404565481	0.827244248120006	1.14828991514565	0.827244248120006	3.89991673413532	2.70329709700181	0.877079351886963	0.877079351886963	1.06517865341357	0	1.64634417746922	0	0	0	1.14828991514565	0	1.23898223148497	0	3.70881035710982	1.45899212011883	0	1.44648428341452	2.50457680290963	3.90471452520033	0	0	2.34867025008183	0	3.30681710922271	3.21990896262617	2.51553821181686	4.59674715966738	PRJNA1188648	010-BL	fecal	Baseline	10	0
SRR31418699	2.06111002959497	0	0	0	0	3.63100205847357	1.25629148768677	1.62833020911093	2.67824695848446	0	0	0	0	0	1.88829065763421	0	0	2.06941686172082	0	0	1.32234663109687	2.77739915310031	1.19918936004861	1.6981348541698	0	0	0.50824770127898	3.33329718889261	2.09858406902153	0	0	2.41677369734901	0	1.13342616729514	0	0	0	1.74107847925148	0	0	0	4.16813656020102	0	0	0	2.27863255148281	4.04375354255829	0	0	2.31749985040845	0	2.8751304426346	2.51162053289289	2.41430154042143	4.68436280857891	PRJNA1188648	010-6M	fecal	6M	10	1
SRR31418700	4.01032144841836	0	3.52348847791828	0	0	4.18139835178402	0	0	2.75847789184203	0	1.42601255509233	0	0	0	0	0	0	0	0	0	0	3.24281048183304	0	1.59664147313741	0	1.46592231136586	0	4.13421413119035	1.69698316829384	0	0	2.98735415696653	0	0	0	0	0	1.9198201768886	0	0	0	4.04231643988138	0	0	0	2.85717685446548	4.36038265632395	0	0	2.96377036217421	2.47904451068218	3.36625048750605	2.19750958875368	0	0	PRJNA1188648	010-12M	fecal	12M	10	1
SRR31418694	2.38187482564056	0	0	0	0	4.28091576047799	1.00337846633762	1.08002735315857	3.45120796066198	0	1.14515623140134	0	0	0	1.51552062399664	0	0	1.85144806263559	0	0	0	2.23436162579111	0	2.87352353405133	0	0	1.71789005435176	3.88644700719948	1.94072514801995	0	1.85930581167233	1.9175205224271	0	1.05595011501143	0	2.38536743467911	0	0.910239519124947	0	1.94713352041199	0	3.25724392515603	0	0	0	1.35021637177284	3.8379725020267	0	0	1.94072514801995	0	2.82154793711944	3.02975637633348	0	4.62515768437532	PRJNA1188648	017-BL	fecal	Baseline	17	0
SRR31418695	2.15617291782714	0	0	0	0	4.19337250995629	0.884012075596344	1.44129781854689	3.36248962163042	0	0	0	0	0	0.884012075596344	0	0	2.37983182786168	0	0	1.32156812697457	2.05749509853805	0	1.95436985203803	0	0	1.73439519201172	3.23719535659786	0	0	0.425541513571787	2.39609933582567	0	0	0	3.51642434234076	0	0	0	1.04077113712397	0	3.77499961193401	0	0	0	1.69974513354427	3.66709611350702	0	0	0	0	3.03280765278307	1.93801060155677	0.969426335464418	4.68633363789385	PRJNA1188648	017-6M	fecal	6M	17	1
SRR31418696	2.45691606424901	0	0	0	0	4.56857102869369	0	2.41902977471227	3.20376370137751	0	1.6406695156297	0	0	0	2.11111723397464	0	0	2.83645806999976	0	0	0	2.5642801557603	0	3.00469766434327	1.50184807052942	0	2.33506335168855	4.02131425605798	0	0	0	2.84608366123352	0	1.52460881769946	0	0	0	0	0	0	0	3.54307310186516	0	0	0	0	4.33776745135503	0	0	2.58406152182529	0	3.27351410082179	3.5688568423334	0	2.19450574481661	PRJNA1188648	017-12M	fecal	12M	17	1
SRR31418691	3.2553694110887	0	0	0	0	4.31801693166757	0.983995540054956	0	1.84575227729601	0	0	0	0	0	2.34165742452596	0	0	2.22646589796188	0	0	0	0	0	2.14367374070999	1.39656799242096	0	0.697826958675089	3.99887476508196	0	0	1.08976725436191	0	0	0.983995540054956	0	0	0.919561238086226	1.48997859529856	0	1.15501779292984	0	2.61662226864874	0	0	0	1.58967203622849	3.27326801581319	0	0	1.91063308171597	0	2.69259351461996	3.6039838755426	0	4.64423204939678	PRJNA1188648	019-BL	fecal	Baseline	19	0
