Actinomycetales	Bacillales	Bacteroidales	Betaproteobacteriales	Bifidobacteriales	Campylobacterales	Chloroplast	Clostridiales	Coriobacteriales	Corynebacteriales	Desulfovibrionales	DTU014	Elusimicrobiales	Enterobacteriales	Erysipelotrichales	Fusobacteriales	Lactobacillales	Methanobacteriales	Micrococcales	Mollicutes_RF39	Opitutales	Pasteurellales	Pseudonocardiales	Rhizobiales	Rickettsiales	Saccharimonadales	Selenomonadales	Synergistales	Verrucomicrobiales	Victivallales	others	BioProject	sample_alias	env_material	Group	ID	prepost
SRR31418697	0	0.827244248120006	4.30665924141201	3.43916510473045	3.14163435512124	0	0	4.2041239968149	2.3241480267728	0	1.97369476719908	0	0	2.96876030080786	1.61306404565481	1.12231413157393	2.88445772879507	0	1.64634417746922	0	0	1.14828991514565	1.45899212011883	1.44648428341452	0	0	3.27674415408752	0	0	2.51553821181686	4.59645976287078	PRJNA1188648	010-BL	fecal	Baseline	10	0
SRR31418699	0	0	4.30923289194308	2.67824695848446	1.62833020911093	0	0	4.12100850314817	1.88829065763421	0	2.06941686172082	0	1.32234663109687	2.77739915310031	1.6981348541698	0.50824770127898	2.54037007294016	0	1.13342616729514	0.884722846415672	0	1.74107847925148	0	0	0	0	2.64237802183009	0	0	2.41430154042143	4.68282919532414	PRJNA1188648	010-6M	fecal	6M	10	1
SRR31418700	0	0	4.48027962581693	2.75847789184203	0	0	0	4.56321126054166	0	0	0	0	0	3.24281048183304	1.59664147313741	0	2.99756292373915	0	0	0	0	1.9198201768886	0	0	0	0	4.01691179656278	2.47904451068218	3.52348847791828	0	0	PRJNA1188648	010-12M	fecal	12M	10	1
SRR31418694	0	0	4.34099590587361	3.45120796066198	1.08002735315857	0	0.874154313763619	4.16648489745335	1.51552062399664	0	1.85144806263559	0	0	2.23436162579111	2.87352353405133	1.71789005435176	2.41124991608601	0	1.05595011501143	0	0	0.910239519124947	0	0	0	0	3.1175495141193	0	0	0	4.62499076113656	PRJNA1188648	017-BL	fecal	Baseline	17	0
SRR31418695	0	0	4.41910961356554	3.36248962163042	1.44129781854689	0	0	3.80494179751788	0.884012075596344	0	2.37983182786168	0	1.32156812697457	2.05749509853805	1.95436985203803	1.73439519201172	0.425541513571787	0	0	0	0	0	0	0	0	0	2.35978641553932	0	0	0.969426335464418	4.68615503593606	PRJNA1188648	017-6M	fecal	6M	17	1
SRR31418696	0	1.50184807052942	4.63446994676752	3.20376370137751	2.41902977471227	0	1.11264856809424	4.51069239269837	2.11111723397464	0	2.83645806999976	0	0	2.5642801557603	3.00469766434327	2.33506335168855	2.62989921345381	0	1.52460881769946	0	0	0	0	0	0	0	3.60107606710689	0	0	0	0	PRJNA1188648	017-12M	fecal	12M	17	1
SRR31418691	0	1.39656799242096	4.41166368546553	1.88882382118252	0	0	0	4.07417862521358	2.34165742452596	0	2.22646589796188	0	0	0	2.14367374070999	0.697826958675089	1.96706906441035	0	0.983995540054956	0	0	1.48997859529856	0	0	0	0	3.76471105553146	0	0	0	4.60233201849325	PRJNA1188648	019-BL	fecal	Baseline	19	0
SRR31418692	0	1.35704433936482	4.4136919655222	2.04046976099501	1.89658061509065	0	0	3.94482316546647	1.59644977028815	0	2.60667437557152	0	1.042968417182	3.61664735568883	1.9445477559874	0	1.78106019602141	0	0	0	0	0.83611242064062	0	0	0	0	2.55011751673183	1.94865671869164	0	0	4.64488283276377	PRJNA1188648	019-6M	fecal	6M	19	1
SRR31418693	0	2.16210224157978	4.70108661446766	0	0	0	1.7004835000492	4.37552596224699	1.63966519782007	0	1.31533670817668	0	0	3.45731212934774	3.05510795642922	0	2.61706981587635	0	0	0	0	0	0	0	1.31533670817668	0	3.74745122404745	0	0	0	0	PRJNA1188648	019-12M	fecal	12M	19	1
SRR31418688	0	0	4.41389629695826	3.04937788842769	2.00802364268458	0	1.51266957565027	3.96420162300085	1.18276947861511	0	2.82482085112799	0	0	2.72026275760938	2.66870165389881	0	1.46008678000899	0	0	0	0	0	0	0	0	0	3.62867360878924	1.03745948261735	0	0	4.62230449229363	PRJNA1188648	022-BL	fecal	Baseline	22	0
