Absconditabacteriales_(SR1)	Actinomycetales	Aeromonadales	Aphagea	Bacillales	Bacteroidales	Betaproteobacteriales	Bifidobacteriales	Blastocatellales	Campylobacterales	Caulobacterales	Chloroplast	Clostridiales	Coriobacteriales	Corynebacteriales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Frankiales	Fusobacteriales	Gastranaerophilales	Holosporales	Lactobacillales	Methanobacteriales	Micrococcales	Mollicutes_RF39	Mycoplasmatales	Oceanospirillales	Pasteurellales	Pseudomonadales	Rhizobiales	Rhodospirillales	Rickettsiales	Salinisphaerales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Synergistales	Verrucomicrobiales	Victivallales	Xanthomonadales	others	BioProject	sample_alias	env_material	Timepoint	prepost	PatientID
SRR13357862	0	1.58865556598591	0	0	0	1.77128424130014	1.14307553973291	0	0	0	0	0.453797463358063	1.65547687118818	0	0	0	3.86495352436792	0.6708272846581	0	0	0	0	0	4.49468947600908	0	0.6708272846581	0	0	0	0	0	0	0	0	0	0.968207666180962	0	0	0	0	0	0	0	PRJNA514452	P07.Fc.0	fecal	0	0	P07
SRR13357851	0	0	0	0	0	1.74039913017437	0.630733601939105	2.64304082430251	0	0	0	0	3.84880825645014	0	0	0	3.90514090396669	0	0	0	0	0	0	3.37049972022425	0	0	0	0	0	1.52801723952221	0	0	0	0	0	4.3172796769811	0	0	0	0.538417283309124	0	0	0	PRJNA514452	P07.Fc.1	fecal	1	1	P07
SRR13357840	0	0	0	0	0	1.90390762143446	0	3.2358100233714	0	0	0	0	4.25258778258681	2.38757826302745	0	0	3.70809984062931	0	0	0	0	0	0	3.79605344296948	0	0	0	0	0	2.50954746548055	0	0	0	0	0	3.85284468560174	0	0	0	0	0	0	0	PRJNA514452	P07.Fc.3	fecal	3	1	P07
SRR13357829	0	0	0	0	0	1.84948555544754	0.687780409627877	0.687780409627877	0	0	0	0	2.02032642253658	0	0	0	3.82185018510669	0	0	0	0	0	0	4.50397872478393	0	0	0	0	0	0.612599122006621	0	0	0	0	0	0	0	0	0	0.612599122006621	0	0	0	PRJNA514452	P07.Fc.6	fecal	6	1	P07
SRR13357784	0	0	0	0	0.937904427435049	4.35225615164064	0	0.983453751987676	0	1.97740101470765	0	0	4.16743065097497	0	0	0	2.2488492039063	1.9213112821865	0	0	1.28354576388486	0	0	1.36257048215825	0	0	0	0	0	2.64058186826151	0	0	0	0	0	2.83530032464016	0	0	0	0	0	0	0	PRJNA514452	P08.Fc.0	fecal	0	0	P08
SRR13357774	0	0	0	0	0	4.47870378793122	0	0	0	0	0	0	3.84360906651997	0	0	0	2.82204692780411	2.01372076033233	0	0	0	0	0	1.54493476750922	0	0	0	0	0	0	0	0	0	0	0	2.69867434817769	0	0	0	2.54911152206089	0	0	0	PRJNA514452	P08.Fc.1	fecal	1	1	P08
SRR13357773	0	0.573916054859772	0	0	0	4.34499108286335	2.97239300137432	2.54079814510474	0	0.452196014168238	0	0	4.16301669785539	0	0	0	1.66181665913911	2.04873905470365	0	0	1.07903722518635	0	0	1.51945689461254	0	0	0	0	0	0.573916054859772	0	0	0	0	0	2.72927796634159	0	0	0	1.42581750911409	0	0	0	PRJNA514452	P08.Fc.3	fecal	3	1	P08
SRR13357772	0	0	0	0	0.624596718514765	3.90819944451802	2.97719758529982	3.59728546248034	0	0	0	0	3.53425821630736	1.17386257314891	0	0	2.32411638997499	2.17260394381666	0	0	0	0	0	4.11088913445577	0	0.722968400108987	0	0	0	0	0	0	0	0	0	3.95572354974254	0	0	0	0	0	0	0	PRJNA514452	P08.Fc.6	fecal	6	1	P08
SRR13357744	0	0.455972362989465	0	0	0	3.77010897493711	2.37624766165112	1.47406809599412	0	0	0	0	3.92028613995891	0	0	0	3.69395861500342	0.455972362989465	0	0	0.817712496146878	0	0	3.07579151110922	0	0	0	0	0	0	0	0	0	0	0	4.2579806104627	0	0	0	0.578193577799696	0	0	0.578193577799696	PRJNA514452	P10.Fc.0	fecal	0	0	P10
SRR13357743	0	0	0	0	0	1.87833751370688	3.27072498692289	3.77597954624314	0	0	0	0	3.53624147336727	0	0	0	4.07070940452332	0	0	0	1.56187900466149	0	0	2.39980410767118	0	0	0	0	0	0	0	0	0	0	0	4.18577863370231	0	0	0	0	0	0	0	PRJNA514452	P10.Fc.1	fecal	1	1	P10
