SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Bacteroidetes	Candidatus Omnitrophica	Candidatus Saccharibacteria	Chlamydiae	Chloroflexi	Chrysiogenetes	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Firmicutes	Fusobacteria	Gemmatimonadetes	Kiritimatiellaeota	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
ERR1624562	0.0	3.2171883225576776	0.0	2.9915180516989133	0.0	0.0	0.0	0.29788575148620083	0.0	0.4729238500586716	0.0	0.0	0.0	4.093921738239031	0.29788575148620083	0.0	0.0	3.273130710603881	0.0	0.4729238500586716	0.0	0.0	0.0	0.29788575148620083
ERR1624563	0.0	2.2949628190763485	0.0	2.8829156008622037	0.0	0.0	0.0	1.5800538963386488	0.0	0.8555560833597702	0.0	0.0	0.0	4.1119186490821455	0.3491068729499056	0.0	0.0	3.4733409271245366	0.0	0.3491068729499056	0.8555560833597702	0.0	0.0	0.0
ERR1624564	0.0	3.3582769131602843	0.0	3.485692212062277	0.0	0.0	0.0	0.0	0.0	1.4784480559639264	0.0	0.0	0.0	4.00482179787249	1.7660586529831541	0.0	0.0	3.0995996533651033	0.26273437245384734	0.8336798299106345	1.2661158238082235	0.0	0.0	2.0242000903892494
ERR1624565	0.0	3.1481272701383594	0.0	3.4803592376819834	0.0	0.0	0.8731367741085125	1.4518544193129046	0.0	0.9130386559076071	0.9130386559076071	0.588176495341158	0.0	3.986828061882029	0.0	0.0	0.0	3.429598767335724	0.23515904907698376	0.4990837262278484	0.4990837262278484	0.0	0.23515904907698376	1.7100973424044468
ERR1624566	0.0	3.155348983529378	0.0	3.2617276568628903	0.0	0.0	0.0	0.0	0.0	1.2721220108696396	0.0	0.0	0.0	4.126849844322634	0.0	0.0	0.0	2.401726939937955	0.2564999281186992	0.0	0.6253513251089219	0.0	0.0	0.6253513251089219
ERR1624567	0.0	3.055686272257102	0.0	3.308843990387433	0.0	0.0	0.3252339473860065	0.9963813112795303	0.0	1.2749436171214656	0.0	0.0	0.0	4.118971305443243	1.1900559606964976	0.0	0.0	2.739004205141042	0.0	0.0	0.9446008503679403	0.0	0.0	0.6378781738839377
ERR1624568	0.0	3.2380507200146873	0.0	3.604856813935488	0.0	0.0	0.36173044707710195	0.36173044707710195	0.0	0.36173044707710195	0.36173044707710195	0.0	0.0	3.933542520989502	1.2528573924615685	0.0	0.0	3.376106875983139	2.243538695021013	0.7923955639680188	0.5563058371183185	0.0	0.0	0.9444867667592233
ERR1624569	0.0	2.443665203629229	0.0	3.250389140917493	0.0	0.0	0.0	0.0	0.0	0.9456420164238575	0.2962131924945526	0.2962131924945526	0.0	3.976413006846036	0.7700933069148234	0.0	0.0	3.7291739597032207	0.0	0.6912372655542464	0.2962131924945526	0.0	0.0	1.2695812699658353
ERR1624570	0.0	3.430624101102339	0.0	3.309084319949351	0.0	0.0	0.37280850722023334	0.0	0.0	0.37280850722023334	0.0	0.0	0.0	4.068147295799349	0.0	0.0	0.0	2.6408584129252035	1.5604492040443054	0.0	1.021853205026876	0.0	0.0	1.021853205026876
ERR1624571	0.0	3.39538488753129	0.0	3.119175949042928	0.0	0.0	0.0	0.0	0.0	0.9013864335014429	0.0	0.0	0.0	4.0167670870705185	2.644624026533876	0.0	0.0	3.35811006949177	0.0	0.0	0.0	0.0	0.0	0.6516985743328588
ERR1624572	0.0	3.3278285543480224	0.0	3.6549401076034354	0.0	0.0	0.0	0.0	0.0	0.9007093746317583	0.0	0.0	0.0	3.964857700996772	1.3622596215621763	0.0	0.0	2.9208708699716333	0.0	0.33432865466771816	0.33432865466771816	0.0	0.0	2.289178790419186
ERR1624573	0.0	3.416483318042765	0.0	3.0172978518758424	0.0	0.4928904071602147	0.0	0.0	0.0	0.3129102133461452	0.3129102133461452	0.0	0.0	4.112215991118444	0.619760629678992	0.0	0.0	2.5004892570683985	0.0	0.619760629678992	0.3129102133461452	0.0	0.0	0.0
ERR1624574	0.0	3.581035907773807	0.0	3.3213461839522096	0.0	0.754830840978856	0.0	1.3348513060311775	0.28718854088408313	0.0	0.0	0.0	0.28718854088408313	4.029301799044167	1.2040169592980605	0.28718854088408313	0.0	2.4417819317961063	0.0	0.0	0.4585661831900044	0.0	0.0	0.0
ERR1624575	0.0	2.886966250417879	0.0	3.3793075496229505	0.0	0.3404176209110039	0.0	0.0	0.0	1.0219716159527503	0.0	1.0685123001769656	0.0	4.126412875997999	0.0	0.0	0.0	2.54212923901762	0.0	0.0	1.0219716159527503	0.0	0.0	0.5288823675981369
