"studyPairs"	"compariosn"	"compariosnTime"	"pval"	"r"
"Afshar-p6M_IleocecalResection-p1"	"Different study"	"Different timepoint"	0.378040742524383	0.134170294623874
"Afshar-p6M_IleocecalResection-p3"	"Different study"	"Different timepoint"	0.832994685505691	-0.0379669940265263
"Afshar-p6M_IleocecalResection-p6"	"Different study"	"Different timepoint"	0.638398526820603	-0.0713981978333502
"Afshar-p6M_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.832994685505691	-0.0333326011509906
"Afshar-p6M_SDT-pPost"	"Different study"	"Different timepoint"	0.188815352474357	-0.161901306240929
"Cholecystectomy-p6M_Cholecystectomy-p12M"	"Same study"	"Different timepoint"	0.00119735477557568	0.355699927001428
"Cholecystectomy-p6M_IleocecalResection-p1"	"Different study"	"Different timepoint"	0.114701697516928	0.236864627909404
"Cholecystectomy-p6M_IleocecalResection-p3"	"Different study"	"Different timepoint"	0.274813954622534	0.177163135372091
"Cholecystectomy-p6M_IleocecalResection-p6"	"Different study"	"Different timepoint"	0.485945597693083	0.121928817451206
"Cholecystectomy-p6M_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.954681964533431	-0.0112761383623217
"Cholecystectomy-p6M_SDT-pPost"	"Different study"	"Different timepoint"	0.438901322680652	-0.115283012222183
"Cholecystectomy-p12M_IleocecalResection-p1"	"Different study"	"Different timepoint"	0.638398526820603	-0.0818494937897923
"Cholecystectomy-p12M_IleocecalResection-p3"	"Different study"	"Different timepoint"	0.638398526820603	-0.0856904289740111
"Cholecystectomy-p12M_IleocecalResection-p6"	"Different study"	"Different timepoint"	0.754231833496822	-0.0561319277737188
"Cholecystectomy-p12M_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.656387204914312	-0.0656048465897987
"Cholecystectomy-p12M_SDT-pPost"	"Different study"	"Different timepoint"	0.960590058787839	0.00649853826916981
"IleocecalResection-p1_IleocecalResection-p3"	"Same study"	"Different timepoint"	0	0.684260426042604
"IleocecalResection-p1_IleocecalResection-p6"	"Same study"	"Different timepoint"	2.22400816011954e-07	0.53030903090309
"IleocecalResection-p1_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.00661331544023435	0.320958751393534
"IleocecalResection-p1_SDT-pPost"	"Different study"	"Different timepoint"	0.0563535611876465	0.232425545469024
"IleocecalResection-p3_IleocecalResection-p6"	"Same study"	"Different timepoint"	0	0.663534353435344
"IleocecalResection-p3_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.0163904844800285	0.286351329829591
"IleocecalResection-p3_SDT-pPost"	"Different study"	"Different timepoint"	0.375777508617013	0.130179964962574
"IleocecalResection-p6_Ileostomy-pPost"	"Different study"	"Different timepoint"	0.0312551304121503	0.258958432871476
"IleocecalResection-p6_SDT-pPost"	"Different study"	"Different timepoint"	0.467600462988218	0.107087115782768
"Ileostomy-pPost_SDT-pPost"	"Different study"	"Same timepoint"	9.91634864309294e-06	0.333685810996221
