SAMPLE_ID	Acidimicrobiia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Candidatus Babeliae	Candidatus Brocadiae	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Deinococci	Deltaproteobacteria	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Limnochordia	Methanobacteria	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Planctomycetia	Rubrobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermoleophilia	Thermomicrobia	Thermotogae	Tissierellia	Verrucomicrobiae	Vicinamibacteria
SAMPLE-19	0.0	0.0	2.2330197698430565	1.2353103214205166	0.0	0.0	0.0	3.199674500356985	3.508816347959617	2.115713357099226	0.0	0.0	0.0	0.0	0.0	0.37093483422732987	0.0	0.0	0.0	0.7031056544337608	4.338240847736401	0.37093483422732987	3.306407961751533	0.37093483422732987	0.0	0.0	0.8890999988799004	0.0	1.018906864245849	3.149941466713305	0.0	0.8890999988799004	1.7998014368567319	1.5407298816027375	3.190702244865783	0.0	2.522343734529598	0.0	0.0	0.0	2.4517857904844016	0.0	3.052693295171066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1187117752328761	0.0	0.0	0.0	0.0	1.1611523845599345	2.4894464482284095	0.0
SAMPLE-2	0.0	0.0	2.8736910749313926	1.044030790279828	0.0	0.0	0.0	2.108955907254382	2.9315494754088	1.2068402709007224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2598430059717565	0.0	3.544292212873626	0.0	0.0	0.2645624904658112	1.6576550566225923	0.0	0.0	3.5642203091048352	0.0	0.0	0.4277841496776106	0.0	2.2625586351032676	0.0	2.29514235561721	0.0	0.0	0.4277841496776106	0.0	0.0	3.816603868877649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2645624904658112	0.0	0.0	0.0	0.0	0.0	1.044030790279828	0.0
SAMPLE-20	0.0	0.0	2.666536918782592	1.230290259122801	0.5313599257851638	0.0	0.0	3.3888202734032538	1.975724338208375	1.6040616668534682	0.0	0.25519758848360863	0.0	0.0	0.414869613825167	0.0	0.0	0.0	0.0	0.7632884832763589	4.127201911381609	0.5313599257851638	3.688553752821439	0.0	0.0	0.0	0.8194009016880488	0.0	1.1397227240127363	3.61136359456336	0.0	0.5313599257851638	1.287641840678886	0.414869613825167	2.9886579994816214	0.0	3.191450191259032	0.0	0.25519758848360863	0.6231208539936863	3.0381337460076914	0.414869613825167	2.184523952292568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.869085924142307	0.0	0.0	0.0	0.25519758848360863	1.230290259122801	3.6834007734548417	0.0
SAMPLE-21	0.0	0.0	1.344603520253229	1.0311427224021195	0.0	0.0	0.0	2.751659866604434	2.3026343422925364	0.9599719864695653	0.0	0.0	0.4189479460023237	0.0	0.0	1.2365130840790919	0.0	0.0	0.4189479460023237	0.0	4.48095071353913	0.0	2.6985689968786595	1.3114751520288153	0.0	0.0	0.6281648839511653	0.0	0.4189479460023237	2.964614834505392	0.0	0.0	1.193545777741897	0.4189479460023237	2.1819095113548297	0.0	1.9316765362288792	0.0	0.0	0.9599719864695653	0.0	0.6281648839511653	3.1013254348883166	0.0	0.0	0.0	0.0	0.0	0.0	0.4189479460023237	0.4189479460023237	0.0	0.0	0.0	0.0	0.0	0.0	0.6281648839511653	1.6017743122831674	0.0
SAMPLE-22	0.0	0.0	2.678546169061589	1.0834125155547571	0.0	0.0	0.0	3.905198903641439	3.030324952263765	0.9583461625027498	0.0	0.0	0.0	0.0	0.0	1.3266145874433377	0.0	0.3033430698160169	0.0	0.0	4.26658983432614	0.0	2.782033054425807	1.560788890717497	0.0	0.3033430698160169	0.0	0.0	0.6055249990690429	2.162944513587245	0.0	0.0	1.451607984689098	1.1182040664378636	2.812817729266912	0.0	1.8107221515592447	0.0	0.0	0.6055249990690429	0.0	0.0	3.053439879097917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7026650325981141	3.5216763720736406	0.0
SAMPLE-23	0.0	0.3264621399976647	2.8410721455680075	0.0	0.0	0.0	0.0	3.579258415049241	1.348143459554025	0.6396706822335387	0.0	0.0	0.0	0.0	0.3264621399976647	0.0	0.0	0.0	0.0	0.5107102568827332	4.2690649199972235	0.0	3.896282121425333	0.3264621399976647	0.0	0.0	0.5107102568827332	0.0	0.0	3.441431135983014	0.0	0.3264621399976647	0.0	0.0	2.4472100087650768	0.0	1.1247252838842126	0.0	0.0	0.738975952880931	0.0	0.0	1.553143758372463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4626287560229887	0.738975952880931	0.0
SAMPLE-24	0.0	0.0	1.6673349222048532	0.802873198492646	0.0	0.0	0.0	2.1353558924349305	3.7851938734304924	2.1785186225182587	0.0	0.0	0.0	0.0	0.0	0.44464087012324965	0.0	0.0	0.0	0.2769002663605906	4.342403849114228	0.0	3.2719441240570957	0.0	0.0	0.0	1.750495776658167	0.0	0.0	2.8408093468668794	0.0	0.0	0.44464087012324965	0.0	2.5798537271059585	0.0	1.9146801371758178	0.0	0.0	0.2769002663605906	0.0	0.0	3.4088256721226107	0.0	0.0	0.0	0.5653432841910613	0.0	0.0	0.0	0.0	0.0	0.2769002663605906	0.0	0.0	0.0	0.0	0.44464087012324965	1.2951290909586946	0.0
SAMPLE-25	0.0	0.0	3.531288864525473	0.804701008193374	0.0	0.0	0.0	3.470472719832871	3.079307178891968	2.1439438121303533	0.0	0.0	0.24756093690039246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.293481931588177	0.0	3.6568579335749862	0.0	0.0	0.0	0.0	0.0	0.24756093690039246	1.9120818761171785	0.0	0.0	0.0	0.24756093690039246	2.66391177573566	0.0	3.015329348615935	0.0	0.0	0.0	0.24756093690039246	0.0	2.794188982454193	0.0	0.24756093690039246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24756093690039246	0.9755018181921047	0.7489568155839956	0.0
SAMPLE-26	0.0	0.0	2.913201809981661	0.9735766694858609	0.3120111659189766	0.0	0.0	3.6049981434583773	3.5602591259874163	2.736818102237192	0.0	0.3120111659189766	0.0	0.0	0.7164090242967085	0.0	0.0	0.3120111659189766	0.0	0.0	3.953909055149761	0.0	3.4733169827091874	0.3120111659189766	0.0	0.0	2.200528315288469	0.0	0.7963019173529076	1.6933389535861127	0.0	0.0	0.3120111659189766	0.3120111659189766	3.138946658202311	0.0	2.2863943293107676	0.0	0.0	0.3120111659189766	0.3120111659189766	0.0	3.2351963302309295	0.0	0.0	0.0	0.0	0.0	0.0	0.3120111659189766	0.0	0.0	0.61842934950359	0.0	0.0	0.0	0.0	1.2757869418607157	3.981159893769523	0.0
SAMPLE-27	0.0	0.0	3.2670594288838273	0.0	0.0	0.0	0.0	3.4892710060167897	3.2761027162984786	2.632536963471015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.194654736405799	0.0	3.9316163044318126	0.0	0.0	0.0	1.310865786571168	0.0	0.0	2.1373758299592462	0.0	0.0	1.0305617358500492	0.0	3.071225080083676	0.0	2.821235821246908	0.0	0.0	0.0	0.0	0.0	2.808290706157615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0305617358500492	0.0	0.0
