SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermotogae	Verrucomicrobia
SAMPLE-25	0.0	3.899441328829033	0.0	0.0	3.0791773727852907	0.0	0.0	0.0	0.0	0.24750449497994295	0.0	0.0	0.0	0.0	0.0	0.24750449497994295	0.0	4.372045486004353	0.24750449497994295	0.0	3.0151995596899854	0.0	0.0	0.0	2.7821049933285193	0.0	0.0	0.0	0.24750449497994295	0.24750449497994295	0.7488500620381762
SAMPLE-26	0.0	3.5796706525445323	0.0	0.0	3.5613544249153133	0.0	0.7169897040879343	0.0	0.31237961774429696	0.4921891153364871	0.0	0.8643766976052931	0.0	0.0	0.0	0.31237961774429696	0.0	4.174666398352072	0.31237961774429696	0.0	2.287109278789523	0.0	0.0	0.0	3.3305368123062413	0.0	0.6189751012297371	0.0	0.0	0.0	3.9818784816726347
SAMPLE-27	0.0	4.007389744357088	0.0	0.0	3.2690442109277646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.302461972230927	0.0	0.0	2.811954843929689	0.0	0.0	0.0	3.2017652595219315	0.0	0.0	0.0	0.0	0.0	0.0
SAMPLE-28	0.0	3.9084838076869035	0.0	0.3379620032567967	3.0908521594789318	0.0	0.0	0.3379620032567967	0.0	0.0	0.0	0.3379620032567967	0.0	0.0	0.0	0.0	0.0	4.378418038713261	0.3379620032567967	0.0	2.549316939214148	0.0	0.0	0.0	2.0615254863435646	0.0	0.3379620032567967	2.1673539296254787	0.0	0.0	2.682531214131444
SAMPLE-29	0.0	3.704685209765267	0.0	0.0	3.090577650306194	0.0	0.7062794951390564	0.0	0.0	0.3732103733766481	0.0	0.3732103733766481	0.0	0.0	0.0	0.3732103733766481	0.0	4.3498192284481325	0.0	0.0	0.3732103733766481	0.0	0.0	0.0	2.499047080056182	0.0	0.0	0.570921482440736	0.0	0.0	3.7268697665112653
SAMPLE-3	0.0	3.1395146002438885	0.0	0.0	3.8670410165633355	0.366871228903858	0.366871228903858	0.0	0.0	0.366871228903858	0.0	1.320375134121634	0.0	0.0	0.0	0.0	0.0	4.366877055102159	1.1545460167635668	0.0	2.190271519442064	0.0	0.0	0.366871228903858	2.935081776747309	0.0	0.0	0.5628638695869721	0.0	0.0	3.10152657703779
SAMPLE-30	0.0	3.6544006999464025	0.0	0.0	2.12161125569896	0.0	0.0	0.0	0.0	0.0	0.0	0.4938753526834866	0.0	0.0	0.0	0.0	0.0	4.455243172053249	0.0	0.0	2.7349650432350856	0.0	0.0	0.0	2.679017735603644	0.0	0.0	0.8665226611709106	0.0	0.0	2.1352969574274216
SAMPLE-31	0.0	3.8782012570511624	0.0	0.22592778279754533	2.2725230257280957	0.0	1.0233973335085447	0.0	0.0	0.0	0.22592778279754533	0.22592778279754533	0.22592778279754533	0.0	0.0	0.0	0.22592778279754533	4.394533405337432	0.0	0.0	2.9818555443557617	0.0	0.0	0.22592778279754533	2.727500535308624	0.4838985134331848	0.4838985134331848	0.37379231530581025	0.0	0.0	2.4441261438085045
SAMPLE-32	0.0	3.157202262101352	0.0	0.0	3.2390495681752802	0.0	0.0	0.0	0.30535414031667435	0.48287726594535146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.408624955008992	1.7408415947880391	0.30535414031667435	1.99528953960873	0.0	0.0	0.0	3.3780034329559725	0.48287726594535146	0.0	0.30535414031667435	0.0	0.0	3.4765067044217473
SAMPLE-33	0.0	3.4031563891107446	0.0	0.0	2.266330041038135	0.0	0.2719206354020396	0.2719206354020396	0.0	0.2719206354020396	0.0	1.843587078747278	0.2719206354020396	0.0	0.0	0.7284918884949356	0.4378584307559444	4.474630438467648	0.0	0.2719206354020396	3.206895801136157	0.0	0.0	0.0	1.803897351467618	0.2719206354020396	0.0	0.9010615824673299	0.0	0.0	1.5096359467537759
