SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Caldiserica	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SRR11292134	0.0	2.0321565152551146	0.0	0.0	4.607820161207984	0.0	0.0	1.1610368804909508	0.0	0.0	1.228951476970496	0.0	0.6701348750917644	0.5381382361042979	0.0	0.3475774596887343	0.0	0.0	0.0	0.0	0.0	0.3475774596887343	4.302549610265594	0.0	0.0	1.3631007807396966	0.0	0.0	0.3475774596887343	3.297245883272665	0.3475774596887343	0.0	0.3475774596887343	0.0	0.0	0.0	2.1331858652490476
SRR11292135	0.4120730428958064	3.0828494766691352	0.0	0.0	3.82876916568309	0.0	0.0	0.2531797851071664	0.0	0.9096696898510516	1.183106084618856	0.0	0.2531797851071664	1.0210307396555631	0.0	0.865150075190283	0.0	0.0	0.0	0.0	0.0	0.9500469364815544	4.532937710899203	0.5281504581812195	0.0	1.713038582873121	0.0	0.0	0.8155399523353793	2.411935820038385	0.5281504581812195	0.0	0.9500469364815544	0.0	0.2531797851071664	0.0	4.3107312691336235
SRR11292136	0.0	2.4719769557312388	0.0	0.0	4.513464223866237	0.24160883046954607	0.0	0.0	0.0	0.0	0.7376300878588036	0.0	0.39593778360841225	0.24160883046954607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24160883046954607	4.416163472508531	0.6740571803761333	0.0	2.198758320034674	0.0	0.0	0.0	3.551087332239339	0.6740571803761333	0.0	2.245262983492564	0.0	0.0	0.24160883046954607	0.39593778360841225
SRR11292137	0.2396860426444892	2.574222154974232	0.0	0.2396860426444892	4.407007266972187	0.0	0.0	0.0	0.0	0.2396860426444892	0.9224893093522708	0.2396860426444892	0.7339407905066034	0.5064556484225804	0.0	0.3932399224277067	0.0	0.0	0.0	0.0	1.76128091348651	0.5064556484225804	4.418202045297195	0.7339407905066034	0.0	1.788144959961023	0.0	0.0	0.2396860426444892	3.2059261727309516	0.0	1.3042787161685663	0.8383679548425111	0.0	0.2396860426444892	0.2396860426444892	3.9552771480747415
SRR11292138	0.0	2.4493915372196478	0.0	0.0	3.910589162532437	0.0	0.0	0.0	0.0	0.0	0.8943210666068602	0.0	0.374385011465421	0.0	0.0	0.7079152774806802	0.0	0.0	0.0	0.0	0.0	0.8110433578945461	4.730415100394523	0.5724110678565657	0.0	1.3043236053658247	0.0	0.0	0.0	2.823380826469101	0.7079152774806802	0.0	0.8110433578945461	0.0	0.0	0.0	0.5724110678565657
SRR11292139	0.0	2.76123484323866	0.34098099310611996	0.0	4.180401069267937	0.0	0.0	0.0	0.0	0.660687827377223	0.660687827377223	0.34098099310611996	0.7612387231511377	1.1498285040689464	0.0	0.9707634310327089	0.0	0.0	0.0	0.0	0.0	1.1850463181781956	4.615206708615506	1.0229094890889132	0.0	2.556309014868255	0.0	0.0	0.660687827377223	3.4539934462074418	0.0	0.5296122911240821	1.5794860950271319	0.0	0.0	0.5296122911240821	3.4199112547186634
SRR11292140	0.7243092556616257	2.7135316133973104	0.0	0.0	4.408743662248751	0.0	0.0	0.0	0.0	0.26953197099724047	0.647414852354042	0.26953197099724047	0.26953197099724047	0.8463724004530062	0.0	0.7243092556616257	0.0	0.5539126825459428	0.0	0.0	0.0	1.728069334617127	4.5272953576783195	0.647414852354042	0.0	1.6434928911978488	0.0	0.0	0.0	3.4592164218119468	0.5539126825459428	1.2801618873263636	0.5539126825459428	0.0	0.0	0.0	1.691652187085993
SRR11292141	0.0	1.6976408818206794	0.0	0.0	4.570236129926013	0.0	0.0	0.0	0.0	0.6290506857417695	0.875811177037938	0.0	0.875811177037938	1.3764923906111928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.272892485166902	3.232334253337233	0.0	1.8802363971358793	0.0	0.0	0.0	3.2485925144536796	0.0	0.0	0.0	0.0	0.0	1.1469314650675282	3.521053571876654
SRR11292142	0.4039595804639843	2.9197979794321824	0.0	0.0	2.8016614602163745	0.0	0.0	0.0	0.0	0.4039595804639843	0.0	0.0	0.4039595804639843	0.853672104302766	0.0	1.5951909782092109	0.0	0.0	0.0	0.0	0.0	0.0	4.779371305175766	0.0	0.0	2.399998040582427	0.0	0.0	0.0	2.53370366759342	0.0	0.938242623589481	2.6509422514495182	0.0	0.0	0.6095715091426884	2.2099537341582787
SRR11292143	0.20078339009777116	1.6425247493586013	0.0	0.0	4.686190315487535	0.0	0.0	0.0	0.0	0.0	0.8374335279652367	0.0	0.44142236563581383	0.5251768323170489	0.0	0.3375609394843006	0.0	0.0	0.0	0.0	0.0	0.3375609394843006	4.118195659848759	0.44142236563581383	0.0	1.6186240186210354	0.0	0.0	0.20078339009777116	3.0446689862759544	0.20078339009777116	0.595360973280444	0.44142236563581383	0.0	0.20078339009777116	0.0	0.3375609394843006
SRR11292144	0.0	2.26350476788831	0.0	0.0	4.4540285650761025	0.0	0.0	0.0	0.0	0.0	1.110541105183533	0.3658737770275952	0.5615931026562192	0.0	0.0	0.3658737770275952	0.0	0.3658737770275952	0.0	0.0	0.0	0.5615931026562192	4.51009433429998	0.0	0.0	3.0396786543580387	0.0	0.0	0.0	2.8754137962312316	1.1529184753439452	0.0	1.2269796963741944	0.0	0.0	0.3658737770275952	0.0
SRR11292145	0.0	2.255549139856187	0.0	0.0	4.580287041398194	0.0	0.0	0.0	0.0	0.0	0.8827451856121236	0.0	0.5066798642258836	0.0	0.0	0.0	0.0	0.3233854106171369	0.0	0.0	0.0	0.3233854106171369	4.352647826651964	0.6351758859347193	0.0	2.225186688209444	0.0	0.0	0.0	3.291320570234729	0.3233854106171369	0.0	0.5066798642258836	0.0	0.0	0.5066798642258836	0.5066798642258836
